,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,0.04,,,0.8333333333333334,,0.05714285714285714,
天津,,0.14634146341463414,,0.08,,0.029411764705882356,0.375,,,
河北,0.19078947368421054,0.16411042944785276,0.0851063829787234,0.13076923076923078,0.07762557077625572,0.18461538461538463,0.5021097046413502,0.23983739837398374,0.16153846153846155,0.05
山西,0.17708333333333331,0.007194244604316547,,0.032051282051282055,,0.04411764705882353,0.21428571428571427,,0.20652173913043478,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.01687763713080169,0.7272727272727273,0.031578947368421054,,0.05785123966942149,,,,
江蘇,0.06726457399103139,0.16425619834710742,0.24215246636771298,0.125,0.08333333333333333,0.0328515111695138,0.11538461538461538,0.09230769230769231,0.2,
浙江,0.04081632653061225,0.08777429467084638,0.14285714285714285,0.045092838196286476,,0.045064377682403435,0.13013698630136986,,0.04176334106728538,
安徽,0.027586206896551724,0.12447257383966244,0.04580152671755726,0.08858858858858858,0.048484848484848485,0.0900900900900901,0.46551724137931033,0.06999999999999999,0.028368794326241134,
福建,,0.018726591760299626,,,0.0425531914893617,0.21686746987951808,,,,0.411764705882353
江西,0.005917159763313609,0.051724137931034475,,0.0020876826722338203,,0.0847457627118644,0.13846153846153847,,,
山東,0.06542056074766356,0.16798418972332016,0.1283422459893048,0.15483870967741933,0.07865168539325842,0.2028397565922921,0.4915254237288136,0.24731182795698922,0.20450281425891179,0.16981132075471697
河南,0.03649635036496351,0.1908006814310051,0.20300751879699247,0.11954022988505747,0.03571428571428571,0.1388888888888889,0.44285714285714284,0.13861386138613863,0.056962025316455694,0.043478260869565216
湖北,,0.020348837209302327,,0.03488372093023256,,0.0822429906542056,0.28901734104046245,0.03888888888888889,0.021428571428571425,
湖南,0.021052631578947368,,,0.0182370820668693,0.006211180124223602,0.00625,0.10655737704918034,0.030837004405286347,0.0875,
廣東,0.06015037593984963,0.035940803382663845,0.0857142857142857,0.012958963282937363,0.045248868778280535,0.16451612903225807,0.07189542483660132,0.07142857142857142,0.03735632183908046,
廣西壯族自治區,,0.03278688524590164,,,0.017543859649122806,0.27472527472527475,0.14285714285714285,,0.05154639175257732,
海南,,,,0.1951219512195122,,,,,,
重慶,,,,,,0.031746031746031744,,0.25609756097560976,,
四川,,,,0.005586592178770949,,,0.018867924528301886,0.072992700729927,0.05777777777777778,
貴州,,,,,,,,,0.026666666666666665,
雲南,,,,,,,,,0.02027027027027027,
西藏自治區,,0.0,,,,,,,,
陝西,0.10958904109589042,0.009433962264150943,,,,0.02127659574468085,0.13157894736842105,0.31884057971014496,0.11278195488721804,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
