,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,0.06666666666666667,,,,0.056603773584905655,
河北,0.03289473684210527,0.10276073619631902,0.13297872340425532,0.021153846153846155,0.091324200913242,0.15,0.08016877637130801,0.05284552845528455,0.18974358974358976,0.05
山西,0.09375,0.05755395683453238,0.10526315789473684,0.01923076923076923,,0.11764705882352941,,0.3220338983050848,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.01694915254237288,0.4166666666666667
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.5833333333333334
上海,,0.2151898734177215,0.1212121212121212,0.09473684210526317,,0.23140495867768596,,,0.29850746268656714,
江蘇,0.14798206278026907,0.05681818181818181,0.03139013452914798,0.17732558139534885,0.1111111111111111,0.08278580814717477,0.04807692307692307,0.046153846153846156,0.052631578947368425,
浙江,0.05612244897959184,0.10031347962382445,0.02857142857142857,0.04774535809018568,0.16666666666666666,0.1459227467811159,0.14383561643835618,0.17857142857142858,0.05568445475638051,0.1724137931034483
安徽,0.013793103448275862,0.11392405063291139,0.0534351145038168,0.08708708708708707,0.030303030303030304,0.08408408408408409,0.36206896551724144,0.049999999999999996,0.0070921985815602835,
福建,0.020833333333333336,0.033707865168539325,0.11904761904761904,0.04501607717041801,0.0425531914893617,0.03614457831325302,0.027027027027027025,0.023255813953488372,0.031746031746031744,
江西,0.14792899408284024,0.04187192118226601,0.01098901098901099,0.05427974947807933,0.006493506493506494,0.18008474576271186,0.03846153846153846,0.11061946902654868,,
山東,0.004672897196261682,0.07312252964426877,0.0213903743315508,0.09516129032258064,0.07865168539325842,0.15415821501014199,0.17796610169491525,0.1935483870967742,0.17636022514071292,0.3962264150943396
河南,0.043795620437956206,0.12265758091993184,0.1804511278195489,0.01839080459770115,0.14285714285714285,0.11666666666666665,,0.039603960396039604,0.300632911392405,
湖北,0.07142857142857142,0.0755813953488372,0.25,0.023255813953488372,0.02727272727272728,0.18878504672897195,0.011560693641618498,0.049999999999999996,0.12857142857142856,
湖南,0.2105263157894737,0.030612244897959183,0.07692307692307691,0.03951367781155015,0.006211180124223602,0.115625,0.11475409836065574,0.02202643171806168,0.024999999999999998,
廣東,0.04511278195488722,0.019027484143763214,0.2642857142857143,0.0021598272138228943,0.045248868778280535,0.041935483870967745,0.05882352941176471,0.025974025974025976,0.08620689655172414,
廣西壯族自治區,,0.0273224043715847,,0.009259259259259259,0.052631578947368425,0.0989010989010989,0.14285714285714285,0.03225806451612903,0.0979381443298969,
海南,,,,,,,,0.8571428571428572,0.125,
重慶,,,,,,0.04761904761904761,,0.036585365853658534,0.01923076923076923,
四川,,0.047619047619047616,0.6428571428571428,,,0.06666666666666667,0.03773584905660377,0.09489051094890512,0.04000000000000001,
貴州,,0.027777777777777776,,,,0.12000000000000001,,,0.05333333333333333,
雲南,,0.0594059405940594,,0.010416666666666668,0.1891891891891892,0.11940298507462685,0.05405405405405405,0.2,0.0945945945945946,
西藏自治區,,0.0,,,,,0.19999999999999998,,,
陝西,0.0410958904109589,0.009433962264150943,,0.012195121951219513,,,0.07894736842105263,0.26086956521739135,0.11278195488721804,
甘肅,,,,,,,,0.5,0.03225806451612903,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.2222222222222222,,,0.375,0.05,
