,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6,,0.32,0.5,0.21739130434782608,0.5,0.125,0.4,
天津,0.2631578947368421,0.2682926829268293,,0.09999999999999999,,0.14705882352941177,,0.6842105263157896,0.7169811320754716,
河北,0.5197368421052632,0.5199386503067485,0.46276595744680854,0.34807692307692306,0.36986301369863017,0.5076923076923077,0.5274261603375527,0.6544715447154471,0.5051282051282051,0.75
山西,0.5833333333333333,0.460431654676259,0.2631578947368421,0.532051282051282,0.28571428571428575,0.3382352941176471,0.6785714285714285,0.6101694915254238,0.6847826086956521,
內蒙古自治區,,,,,,,,,0.6666666666666666,
遼寧,,,,0.17391304347826086,0.06666666666666667,,,,0.3389830508474576,0.4583333333333333
吉林,,,,,,,,,0.25,0.25
黑龍江,,,,,,,,,0.4,0.08333333333333334
上海,0.6666666666666666,0.7637130801687765,0.8181818181818181,0.6736842105263159,0.625,0.859504132231405,0.7222222222222222,0.75,0.9104477611940298,1.0
江蘇,0.5156950672645739,0.4369834710743801,0.452914798206278,0.3938953488372093,0.25,0.5729303547963206,0.5096153846153846,0.6076923076923076,0.5052631578947369,0.7419354838709679
浙江,0.4897959183673469,0.6050156739811913,0.5428571428571428,0.4005305039787798,0.5333333333333333,0.6008583690987124,0.6095890410958904,0.33333333333333337,0.5870069605568445,0.9137931034482759
安徽,0.4275862068965517,0.42405063291139244,0.46564885496183206,0.22972972972972971,0.15151515151515152,0.22522522522522523,0.37931034482758624,0.45,0.22695035460992907,0.29166666666666663
福建,0.2916666666666667,0.400749063670412,0.4285714285714286,0.40836012861736326,0.25531914893617025,0.30120481927710846,0.3243243243243243,0.23255813953488375,0.4074074074074074,0.6470588235294117
江西,0.3136094674556213,0.3029556650246305,0.08791208791208792,0.23382045929018788,0.36363636363636365,0.3029661016949153,0.4615384615384615,0.42920353982300885,0.17391304347826086,
山東,0.411214953271028,0.4901185770750988,0.6256684491978609,0.3564516129032258,0.6292134831460674,0.5598377281947262,0.5466101694915254,0.5483870967741935,0.624765478424015,0.7924528301886792
河南,0.4671532846715329,0.43611584327086883,0.40601503759398494,0.48045977011494256,0.375,0.4111111111111111,0.2571428571428572,0.5346534653465347,0.5759493670886076,0.8695652173913043
湖北,0.4285714285714286,0.12790697674418605,0.2692307692307692,0.13372093023255813,0.07272727272727274,0.22242990654205605,0.3930635838150289,0.3333333333333333,0.24285714285714283,
湖南,0.28421052631578947,0.14285714285714285,0.1282051282051282,0.24316109422492402,0.31677018633540377,0.3,0.49180327868852464,0.4537444933920705,0.16249999999999998,0.2857142857142857
廣東,0.4511278195488722,0.46511627906976744,0.4071428571428571,0.46004319654427644,0.44796380090497734,0.36774193548387096,0.5751633986928105,0.44805194805194803,0.4310344827586207,0.39999999999999997
廣西壯族自治區,0.11111111111111112,0.1639344262295082,,0.2037037037037037,0.4210526315789474,0.1978021978021978,0.39285714285714285,0.09677419354838711,0.45360824742268036,0.5454545454545454
海南,0.625,0.6333333333333333,0.23076923076923078,0.0975609756097561,0.25,0.09090909090909091,0.16666666666666666,0.4285714285714286,0.375,
重慶,,0.09090909090909091,0.5555555555555555,0.09523809523809523,0.3793103448275862,0.33333333333333326,0.2692307692307692,0.5,0.23076923076923075,
四川,,0.11904761904761905,0.21428571428571427,0.3407821229050279,0.25,0.3333333333333333,0.3584905660377358,0.35766423357664234,0.3866666666666667,0.23076923076923073
貴州,0.6,0.19444444444444445,,0.11764705882352941,0.07142857142857144,0.21999999999999997,0.5,0.19999999999999998,0.36000000000000004,0.3333333333333333
雲南,0.5,0.25742574257425743,0.12000000000000001,0.18750000000000003,0.16216216216216214,0.3134328358208955,0.16216216216216217,0.375,0.30405405405405406,0.16666666666666669
西藏自治區,,0.0,,,,0.04761904761904762,,,0.6000000000000001,
陝西,0.4794520547945205,0.44339622641509435,0.25,0.30487804878048785,0.32653061224489793,0.4787234042553192,0.2894736842105263,0.5072463768115942,0.40601503759398494,
甘肅,0.3,0.18181818181818182,0.2,0.22388059701492535,0.5454545454545455,0.6086956521739131,0.5,0.75,0.22580645161290325,0.7142857142857143
青海,,1.0,0.0,,,1.0,,,0.5555555555555556,
寧夏回族自治區,,0.5,,,,,,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,0.875,
臺灣,0.0,0.7058823529411764,,0.3333333333333333,0.2222222222222222,0.5454545454545455,0.3333333333333333,,0.6499999999999999,
