,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.08571428571428572,
天津,0.2105263157894737,0.04878048780487805,,,,,0.375,0.052631578947368425,0.056603773584905655,
河北,0.2192982456140351,0.06288343558282208,,0.03653846153846154,0.15525114155251143,0.15,0.21518987341772153,0.07723577235772357,0.09230769230769231,0.25
山西,0.07291666666666666,0.18705035971223025,,0.1346153846153846,0.020408163265306124,0.23529411764705882,0.21428571428571427,0.1864406779661017,0.2608695652173913,
內蒙古自治區,,,,,,,,,0.3333333333333333,
遼寧,,,,,,,,,0.15254237288135594,0.3333333333333333
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.16666666666666669
上海,0.09523809523809523,0.3333333333333333,0.6515151515151515,0.25263157894736843,0.125,0.1322314049586777,,0.25,0.373134328358209,
江蘇,0.09417040358744395,0.12913223140495866,0.04484304932735426,0.05377906976744185,0.047619047619047616,0.12220762155059132,0.18269230769230768,0.12307692307692307,0.24736842105263157,0.13978494623655915
浙江,0.16836734693877553,0.23981191222570533,,0.10079575596816977,0.15416666666666667,0.1888412017167382,0.2534246575342466,0.11904761904761905,0.17633410672853828,
安徽,0.05517241379310345,0.10126582278481013,0.03053435114503817,0.04204204204204204,0.07272727272727272,0.13813813813813813,0.10344827586206896,0.16999999999999998,0.11347517730496454,
福建,0.15625,0.02247191011235955,0.047619047619047616,0.06430868167202572,0.0851063829787234,0.08433734939759037,0.027027027027027025,0.16279069767441862,0.07407407407407407,0.11764705882352941
江西,0.04142011834319527,0.05665024630541872,0.06593406593406594,0.07306889352818373,0.16883116883116883,0.09322033898305085,0.13076923076923075,0.21238938053097345,,
山東,0.06074766355140187,0.10869565217391304,0.13903743315508021,0.09193548387096773,0.25280898876404495,0.1460446247464503,0.2033898305084746,0.2043010752688172,0.19324577861163225,0.5849056603773585
河南,0.051094890510948905,0.10902896081771721,0.03007518796992481,0.048275862068965524,0.14285714285714285,0.10555555555555556,0.1142857142857143,0.1485148514851485,0.08544303797468353,
湖北,0.09821428571428571,0.020348837209302327,,0.00872093023255814,0.07272727272727274,0.11401869158878504,0.08670520231213874,0.13333333333333333,0.14285714285714285,
湖南,0.052631578947368425,0.013605442176870748,,0.0729483282674772,0.012422360248447204,0.1375,0.13934426229508198,0.21145374449339208,0.024999999999999998,
廣東,0.030075187969924814,0.054968287526427066,,0.038876889848812095,0.018099547511312215,0.1870967741935484,0.11764705882352942,0.15584415584415584,0.15804597701149425,
廣西壯族自治區,,0.0273224043715847,,0.06481481481481481,0.017543859649122806,0.02197802197802198,0.03571428571428571,0.19354838709677422,0.06185567010309278,0.18181818181818182
海南,,,,,,,,,,
重慶,,,,0.023809523809523808,0.06896551724137931,,,0.1951219512195122,0.07692307692307691,
四川,,,,0.08938547486033518,0.0625,0.022222222222222223,0.11320754716981132,0.18248175182481755,0.14666666666666667,
貴州,,,,,,,,,0.013333333333333332,
雲南,,0.0594059405940594,0.08,0.04166666666666667,0.040540540540540536,,,,0.060810810810810814,
西藏自治區,,0.0,,,,0.14285714285714288,,,,
陝西,0.21917808219178084,0.009433962264150943,,0.012195121951219513,0.061224489795918366,0.031914893617021274,,0.2318840579710145,0.04511278195488721,
甘肅,,,,,0.36363636363636365,,,0.5,0.12903225806451613,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,0.25,
臺灣,0.0,0.7058823529411764,,,0.1111111111111111,,,,0.44999999999999996,
