,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.08571428571428572,
天津,,0.04878048780487805,,0.02,0.06666666666666667,,,,0.37735849056603776,
河北,0.1557017543859649,0.0843558282208589,,0.007692307692307692,0.0502283105022831,0.06346153846153846,0.14345991561181434,0.07723577235772357,0.06923076923076923,
山西,0.13541666666666666,0.02158273381294964,,0.04487179487179487,,0.11764705882352941,0.5714285714285714,0.05084745762711865,,
內蒙古自治區,,,,,,,,,0.6666666666666666,
遼寧,,0.16666666666666669,,,0.06666666666666667,,,,,
吉林,,,,,,,,,0.08333333333333333,
黑龍江,,,,,,,,,,
上海,0.4444444444444444,0.22362869198312235,0.0606060606060606,0.031578947368421054,0.09375,0.11570247933884298,0.5,0.625,0.6119402985074627,1.0
江蘇,0.22869955156950675,0.13119834710743802,0.22421524663677128,0.04215116279069767,0.10317460317460317,0.17608409986859394,0.16346153846153846,0.20769230769230768,0.18947368421052632,0.5161290322580645
浙江,0.24489795918367346,0.3369905956112853,,0.09283819628647215,0.15833333333333335,0.1759656652360515,0.0273972602739726,0.07142857142857144,0.14153132250580044,0.034482758620689655
安徽,0.18620689655172412,0.14978902953586498,0.1450381679389313,0.016516516516516516,,0.05405405405405405,0.13793103448275862,0.20999999999999996,0.09929078014184398,0.08333333333333333
福建,0.08333333333333334,0.1647940074906367,0.023809523809523808,0.11575562700964628,0.09574468085106383,0.024096385542168676,0.05405405405405405,0.046511627906976744,0.08994708994708994,0.058823529411764705
江西,0.02958579881656805,0.07881773399014777,0.04395604395604396,0.022964509394572025,0.012987012987012988,0.07627118644067797,0.1846153846153846,0.2831858407079646,,1.0
山東,0.1588785046728972,0.04940711462450593,,0.04032258064516129,0.05056179775280899,0.1257606490872211,0.2542372881355932,0.13978494623655913,0.14446529080675422,0.3773584905660377
河南,0.16788321167883213,0.10391822827938671,,0.059770114942528735,,0.044444444444444446,0.1142857142857143,0.20792079207920794,0.08544303797468353,
湖北,0.0625,0.011627906976744186,0.057692307692307696,,0.009090909090909092,0.09906542056074766,0.19653179190751446,0.15555555555555556,0.17857142857142858,
湖南,0.021052631578947368,0.027210884353741496,,0.02735562310030395,0.037267080745341616,0.0125,0.02459016393442623,0.20704845814977976,0.03749999999999999,0.047619047619047616
廣東,0.14285714285714288,0.10359408033826639,0.14285714285714285,0.07343412526997839,0.12217194570135746,0.08064516129032258,0.08496732026143793,0.11688311688311688,0.15804597701149425,0.19999999999999998
廣西壯族自治區,0.03703703703703704,0.060109289617486336,0.13793103448275862,,0.10526315789473685,0.02197802197802198,,,0.02577319587628866,0.09090909090909091
海南,0.1875,,,0.14634146341463414,,,0.16666666666666666,,0.125,
重慶,,,,0.047619047619047616,0.034482758620689655,0.07936507936507935,0.15384615384615385,0.08536585365853658,0.11538461538461538,
四川,,0.023809523809523808,,0.0670391061452514,0.08333333333333333,0.044444444444444446,0.18867924528301888,0.0875912408759124,0.08000000000000002,0.07692307692307693
貴州,,0.08333333333333333,,,,0.12000000000000001,0.3333333333333333,0.04,0.09333333333333334,
雲南,0.5,0.06930693069306931,0.10000000000000002,0.010416666666666668,0.013513513513513513,,0.05405405405405405,0.025,0.07432432432432433,0.16666666666666669
西藏自治區,,0.0,,,,0.04761904761904762,,,0.2,
陝西,0.013698630136986302,0.1509433962264151,,0.024390243902439025,,,,0.028985507246376812,0.015037593984962405,
甘肅,0.2,0.045454545454545456,,,,0.04347826086956522,,,,
青海,,,0.0,,,1.0,,,0.5555555555555556,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
