,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,0.4,,0.32,0.1,0.34782608695652173,0.8333333333333334,0.4375,0.11428571428571428,
天津,0.3157894736842105,0.2682926829268293,0.3529411764705882,0.08,,0.17647058823529413,,0.368421052631579,,
河北,0.4824561403508772,0.3941717791411043,0.25,0.3096153846153846,0.3515981735159817,0.36153846153846153,0.45569620253164556,0.3861788617886178,0.2743589743589744,0.25
山西,0.44791666666666663,0.3597122302158274,0.3157894736842105,0.23076923076923075,0.2448979591836735,0.3382352941176471,0.3214285714285714,0.4745762711864407,0.5543478260869565,
內蒙古自治區,,,,,,,,,0.3333333333333333,
遼寧,,0.33333333333333337,,0.17391304347826086,0.39999999999999997,0.05714285714285715,1.0,,0.2711864406779661,0.625
吉林,,,,,0.5,0.7142857142857143,,,0.08333333333333333,0.08333333333333333
黑龍江,,,,0.11111111111111109,,0.2173913043478261,,,,0.25
上海,0.5238095238095238,0.6497890295358649,0.40909090909090906,0.5789473684210527,0.25,0.5454545454545454,0.8333333333333333,0.9375,0.8955223880597015,1.0
江蘇,0.3452914798206278,0.3863636363636363,0.44843049327354256,0.4345930232558139,0.3492063492063492,0.4086727989487516,0.3269230769230769,0.38461538461538464,0.24473684210526314,0.3010752688172043
浙江,0.3724489795918367,0.5501567398119122,0.5238095238095238,0.35809018567639256,0.44583333333333336,0.45064377682403434,0.3013698630136986,0.4761904761904762,0.4756380510440835,0.4827586206896552
安徽,0.4,0.30168776371308015,0.4427480916030535,0.39789789789789787,0.3090909090909091,0.3723723723723724,0.13793103448275862,0.37,0.1702127659574468,0.5
福建,0.41666666666666663,0.3146067415730337,0.41666666666666663,0.28938906752411575,0.2765957446808511,0.4096385542168675,0.13513513513513514,0.32558139534883723,0.3280423280423281,0.5882352941176471
江西,0.31952662721893493,0.354679802955665,0.4065934065934066,0.3569937369519833,0.3116883116883117,0.4279661016949153,0.30769230769230765,0.41592920353982304,0.3695652173913043,
山東,0.397196261682243,0.37351778656126483,0.4438502673796791,0.2241935483870968,0.2696629213483146,0.3367139959432049,0.3474576271186441,0.16129032258064516,0.3414634146341463,0.5471698113207547
河南,0.4963503649635037,0.3526405451448041,0.42105263157894735,0.4,0.25,0.22777777777777777,0.1,0.08910891089108912,0.2626582278481013,
湖北,0.22321428571428573,0.10755813953488372,0.25,0.15988372093023256,0.13636363636363638,0.2654205607476635,0.11560693641618498,0.15555555555555556,0.15714285714285714,
湖南,0.43157894736842106,0.28231292517006806,0.30769230769230765,0.2188449848024316,0.49068322981366463,0.2875,0.33606557377049184,0.3480176211453745,0.35,0.19047619047619047
廣東,0.2330827067669173,0.26004228329809725,0.32857142857142857,0.29373650107991356,0.16289592760180996,0.3064516129032258,0.15686274509803924,0.3766233766233766,0.25287356321839083,0.3
廣西壯族自治區,,0.2185792349726776,0.20689655172413793,0.15740740740740738,0.2105263157894737,0.27472527472527475,0.17857142857142858,0.12903225806451613,0.45360824742268036,0.18181818181818182
海南,0.375,0.03333333333333333,,0.34146341463414637,0.25,0.2727272727272727,,0.14285714285714285,0.8125000000000001,
重慶,,0.09090909090909091,0.1111111111111111,0.11904761904761904,0.06896551724137931,0.25396825396825395,0.3076923076923077,0.2926829268292683,0.28846153846153844,
四川,,0.047619047619047616,0.2857142857142857,0.26256983240223464,0.20833333333333334,0.23333333333333334,0.3018867924528302,0.3430656934306569,0.3244444444444444,0.3076923076923077
貴州,0.39999999999999997,0.13888888888888887,,0.08823529411764706,0.2142857142857143,0.09999999999999999,,0.36,0.45333333333333337,0.3333333333333333
雲南,0.125,0.37623762376237624,0.38,0.15625,0.2162162162162162,0.14925373134328357,0.4594594594594595,0.225,0.25675675675675674,0.5
西藏自治區,,0.0,,,0.5,0.5714285714285715,0.7999999999999999,0.625,0.6000000000000001,
陝西,0.3972602739726027,0.07547169811320754,,0.32926829268292684,0.30612244897959184,0.2872340425531915,0.15789473684210525,0.2753623188405797,0.5037593984962405,0.5
甘肅,0.3,0.09090909090909091,0.1,0.2686567164179104,0.09090909090909091,0.1739130434782609,,,0.2903225806451613,0.14285714285714288
青海,,,0.0,,,1.0,,,0.5555555555555556,
寧夏回族自治區,,,,,0.19999999999999998,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.7647058823529411,,0.2777777777777778,0.7777777777777778,0.4090909090909091,0.6666666666666666,0.6250000000000001,0.3,
