,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2,,,,,,,0.14285714285714288,
天津,,0.07317073170731707,,0.02,,,,,0.4339622641509434,
河北,0.22149122807017543,0.2392638036809816,0.037234042553191495,0.09807692307692308,0.10958904109589042,0.24230769230769228,0.4177215189873418,0.09756097560975609,0.24358974358974358,0.5
山西,0.125,0.05755395683453238,,0.07692307692307691,0.14285714285714288,0.23529411764705882,,0.2203389830508475,0.07608695652173912,
內蒙古自治區,,,,,,,,,0.6666666666666666,
遼寧,,,,,0.06666666666666667,0.028571428571428574,,,0.05084745762711865,0.041666666666666664
吉林,,,,,,,,,,
黑龍江,,,,,,,,,0.13333333333333333,
上海,0.47619047619047616,0.5358649789029536,0.8181818181818181,0.6000000000000001,0.21875,0.6776859504132231,0.5,0.6875,0.8059701492537312,
江蘇,0.16143497757847536,0.20661157024793386,0.3991031390134529,0.3226744186046511,0.20238095238095236,0.29303547963206306,0.3942307692307692,0.3461538461538461,0.32105263157894737,0.6451612903225806
浙江,0.24489795918367346,0.3777429467084639,0.4857142857142857,0.3740053050397878,0.17500000000000002,0.3240343347639485,0.4863013698630137,0.28571428571428575,0.29930394431554525,0.7068965517241379
安徽,0.13103448275862067,0.11181434599156119,0.17557251908396948,0.057057057057057055,0.0787878787878788,0.05705705705705706,0.10344827586206896,0.27,0.10638297872340424,0.29166666666666663
福建,0.07291666666666667,0.2359550561797753,0.13095238095238096,0.28938906752411575,0.18085106382978722,0.08433734939759037,0.13513513513513514,0.13953488372093023,0.16931216931216933,0.11764705882352941
江西,0.1301775147928994,0.07881773399014777,0.04395604395604396,0.04592901878914405,0.025974025974025976,0.13983050847457626,0.030769230769230767,0.14601769911504425,0.08695652173913043,1.0
山東,0.16355140186915887,0.18181818181818182,0.2620320855614973,0.1338709677419355,0.20224719101123595,0.20689655172413796,0.3347457627118644,0.3010752688172043,0.30581613508442773,0.6037735849056604
河南,0.10948905109489052,0.131175468483816,0.09022556390977444,0.13793103448275862,0.5,0.18888888888888888,0.014285714285714287,0.19801980198019803,0.2974683544303797,0.13043478260869565
湖北,0.2142857142857143,0.05523255813953488,0.1346153846153846,0.07267441860465117,0.009090909090909092,0.17383177570093455,0.16763005780346824,0.18333333333333332,0.2571428571428571,
湖南,0.11578947368421054,0.02380952380952381,,0.030395136778115502,0.11801242236024845,0.059375000000000004,0.22131147540983606,0.2378854625550661,0.07499999999999998,0.38095238095238093
廣東,0.12030075187969926,0.1416490486257928,0.0857142857142857,0.15550755939524838,0.22624434389140272,0.22580645161290322,0.30718954248366015,0.3051948051948052,0.221264367816092,0.39999999999999997
廣西壯族自治區,,0.060109289617486336,0.034482758620689655,0.018518518518518517,0.017543859649122806,0.07692307692307693,0.2857142857142857,0.06451612903225806,0.21134020618556698,0.2727272727272727
海南,0.1875,0.36666666666666664,0.07692307692307691,0.024390243902439025,0.25,,0.5,,,
重慶,,,,0.047619047619047616,,0.17460317460317457,0.2692307692307692,0.12195121951219512,0.01923076923076923,
四川,,,,0.061452513966480445,0.10416666666666667,0.03333333333333333,0.03773584905660377,0.1751824817518248,0.11111111111111112,0.3076923076923077
貴州,,,,0.058823529411764705,,0.060000000000000005,0.3333333333333333,0.19999999999999998,0.04,
雲南,0.125,0.0594059405940594,,0.04166666666666667,0.040540540540540536,0.029850746268656712,0.05405405405405405,0.125,0.22972972972972974,0.16666666666666669
西藏自治區,,0.0,,,,,,,,
陝西,0.10958904109589042,0.12264150943396228,,0.06097560975609757,,,0.10526315789473685,0.2028985507246377,0.3082706766917293,
甘肅,,,,0.11940298507462686,0.09090909090909091,0.08695652173913045,,0.5,0.22580645161290325,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.11764705882352941,,0.22222222222222218,,0.4090909090909091,0.3333333333333333,,0.44999999999999996,
