,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.5,,1.0,,,,
山西,0.7999999999999999,0.7142857142857143,1.0,,,,,,0.9444444444444445,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,1.0,,,,,,,
浙江,0.888888888888889,0.8636363636363635,,1.0,,0.8571428571428572,,1.0,0.7500000000000001,0.9411764705882353
安徽,,,,,0.25,,,,,
福建,,,,0.4444444444444445,,,,,,
江西,,,,0.8333333333333334,,0.6363636363636364,,,,
山東,,0.3333333333333333,,,0.8571428571428572,1.0,,0.7500000000000001,,
河南,,0.9032258064516129,,,0.7938144329896907,0.7777777777777778,,0.5,,
湖北,,,,1.0,,,,,,
湖南,,,,,,0.5,,,,1.0
廣東,,,,,,1.0,1.0,0.4,0.7435897435897435,
廣西壯族自治區,,,,,0.75,,,,0.8947368421052632,
海南,,,,,,,0.6,,,
重慶,,,,,,1.0,,1.0,0.6666666666666666,
四川,,,,1.0,,,0.2857142857142857,0.8571428571428571,,
貴州,,,,1.0,,,,,1.0,
雲南,,,1.0,,,1.0,,,,
西藏自治區,,0.0,,,,,,,,
陝西,1.0,1.0,,0.1,,,,,,
甘肅,,1.0,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.9285714285714285,
