,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.8571428571428571,,,,,,
山西,,,,,,,,,0.9444444444444445,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.3333333333333333,,,,,,,
浙江,0.6111111111111112,0.2727272727272727,,,,0.8571428571428572,,,0.5416666666666666,0.9411764705882353
安徽,,,,,,1.0,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,0.36363636363636365,,,,
山東,,0.75,,,,,,,,
河南,,0.8225806451612904,,,0.6185567010309279,0.3333333333333333,,,,
湖北,0.6666666666666666,,,,,,,,,
湖南,,,,0.7777777777777777,0.4444444444444444,0.14285714285714288,,,,
廣東,,,,,,,,,0.10256410256410256,
廣西壯族自治區,,,,,,,,,0.5789473684210525,
海南,,,,,,,,,,
重慶,,,,,,,,,0.5,
四川,,,,,,,,,0.4,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.5,,0.4,,,,,0.25,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
