,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.8571428571428571,,1.0,,,,
山西,0.6,0.07142857142857142,,,,,,,0.9444444444444445,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.3333333333333333,,,,,,,
浙江,1.0,0.9090909090909092,,,,0.8571428571428572,,,0.6666666666666667,0.4117647058823529
安徽,,,,,0.25,,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,0.7272727272727273,,,,
山東,,0.5833333333333333,,,0.4285714285714286,,,1.0,,
河南,,0.9354838709677419,,,0.8865979381443299,0.4444444444444444,,0.7500000000000001,,
湖北,0.6666666666666666,,,1.0,,,,,,
湖南,,,,1.0,0.7777777777777778,0.14285714285714288,,,,
廣東,,,,,,,,0.2,0.30769230769230765,
廣西壯族自治區,,,,,0.75,,,1.0,0.3157894736842105,
海南,,,,,,,0.4,,,
重慶,,,,,,,,,0.5,
四川,,,,,,,0.14285714285714285,,0.06666666666666667,
貴州,,,,1.0,1.0,,,,0.5555555555555556,
雲南,,,,,,,,,0.7272727272727273,
西藏自治區,,0.0,,,,,,,,
陝西,,0.75,,0.6,,,,,0.25,
甘肅,,0.3333333333333333,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.21428571428571427,
