,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.5,,,,,,
山西,1.0,0.07142857142857142,,,,,,,0.9444444444444445,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,1.0,0.7727272727272727,,,,0.7142857142857143,,,0.37500000000000006,
安徽,,,,,,1.0,,,,
福建,,,,,,,,,,
江西,,,,0.6666666666666666,,,,,,
山東,,,,,1.0,,,0.25,,
河南,,0.7419354838709677,,,0.8865979381443299,0.1111111111111111,,1.0,,
湖北,0.6666666666666666,,,1.0,,,,,,
湖南,,,,,,0.8571428571428572,,,,
廣東,,,,,,,,,0.358974358974359,
廣西壯族自治區,,,,,1.0,,,,0.10526315789473684,
海南,,,,,,,,,,
重慶,,,,,,,,,1.0,
四川,,,,,,,0.14285714285714285,,0.6000000000000001,
貴州,,,,,,,,,0.4444444444444445,
雲南,,,,1.0,,,,,0.36363636363636365,
西藏自治區,,0.0,,,,,,,,
陝西,,1.0,,0.1,,,,,0.5,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.5714285714285715,
