,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.05555555555555556,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.9444444444444444,0.18181818181818182,,,,,,0.25,0.6666666666666667,1.0
安徽,,0.5,,,,1.0,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,0.8181818181818181,,,,
山東,,,,,,,,,,
河南,,0.03225806451612903,,,0.10309278350515465,0.1111111111111111,,,,
湖北,0.3333333333333333,,,1.0,,,,,,
湖南,,,,,1.0,0.5714285714285715,,0.16666666666666666,,1.0
廣東,,,,,,0.8333333333333333,0.6666666666666666,0.6000000000000001,0.7692307692307693,
廣西壯族自治區,,,,,,,,0.16666666666666666,0.7368421052631579,
海南,,,,,,,,,,
重慶,,,,,,,,,0.5,
四川,,,,,,,,0.7142857142857143,,
貴州,,,,,,,,,0.11111111111111112,
雲南,,,,,,1.0,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.1,,,,,0.25,
甘肅,,1.0,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.5714285714285715,
