,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,0.19999999999999998,,,,,,,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,1.0,,,,,,,
浙江,,0.2272727272727273,,,,,,,0.33333333333333337,
安徽,,,,,,1.0,,,,
福建,,,,,,,,,,
江西,,,,,,,,,,
山東,,0.75,,,,0.9166666666666666,,,,
河南,,0.7096774193548386,,,0.1958762886597938,0.7777777777777778,,,,
湖北,,,,1.0,,,,,,
湖南,,,,,,,,,,
廣東,,,,,,,,,0.1794871794871795,
廣西壯族自治區,,,,,,,,,,
海南,,,,,,,,,,
重慶,,,,,,,,,,
四川,,,,,,,,,,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.125,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
