,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.9444444444444445,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.18181818181818182,,,,,,,0.08333333333333334,0.23529411764705882
安徽,,,,,,1.0,,,,
福建,,,,,,,,,,
江西,,,,,,,,,,
山東,,,,,,,,,,
河南,,0.6774193548387097,,,0.46391752577319584,,,,,
湖北,,,,,,,,,,
湖南,,,,,,0.07142857142857144,,,,
廣東,,,,,,,,,0.10256410256410256,
廣西壯族自治區,,,,,,,,0.3333333333333333,0.15789473684210525,
海南,,,,,,,,,,
重慶,,,,,,0.3333333333333333,,,,
四川,,,,,,,,,0.46666666666666673,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.25,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
