,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,1.0,,,,,,
山西,0.39999999999999997,0.5714285714285714,1.0,,,,,,0.8333333333333335,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.6666666666666666,0.6818181818181819,,,,0.8571428571428572,,0.5,0.7500000000000001,1.0
安徽,,1.0,,,1.0,,,,,
福建,,,,0.888888888888889,,,,,,
江西,,,,1.0,,0.909090909090909,,,,
山東,,0.4166666666666667,,,1.0,1.0,,1.0,,
河南,,0.7258064516129032,,,0.8350515463917525,,,0.5,,
湖北,0.6666666666666666,,,1.0,,,,,,
湖南,,,,0.8888888888888888,0.3333333333333333,0.5714285714285715,,1.0,,0.7499999999999999
廣東,,,,,,,0.3333333333333333,0.2,0.4358974358974359,
廣西壯族自治區,,,,,,,,,0.42105263157894735,
海南,,,,,,,0.8,,,
重慶,,,,,,1.0,,1.0,0.5,
四川,,,,,,,1.0,0.5714285714285714,,
貴州,,,,,1.0,,,,1.0,
雲南,,,1.0,,,,,,0.45454545454545453,
西藏自治區,,0.0,,,,,,,,
陝西,1.0,1.0,,0.7,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.7857142857142857,
