,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.05555555555555556,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.5,0.5454545454545454,,,,,,,0.25,
安徽,,,,,,1.0,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,0.909090909090909,,,,
山東,,,,,,0.9166666666666666,,1.0,,
河南,,0.22580645161290322,,,0.051546391752577324,0.1111111111111111,,,,
湖北,,,,,,,,,,
湖南,,,,0.6666666666666666,,0.07142857142857144,,1.0,,
廣東,,,,,,,,0.5,0.8205128205128205,
廣西壯族自治區,,,,,,,,1.0,,
海南,,,,,,,,,,
重慶,,,,,,,,0.16666666666666669,,
四川,,,,,,,,,0.6666666666666667,
貴州,,1.0,,,,,,,,
雲南,,,1.0,,,,,,0.2727272727272727,
西藏自治區,,0.0,,,,,,,,
陝西,,,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.7142857142857143,
