,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,0.8,,,,,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.4545454545454546,,,,,,,,
安徽,,,,,0.5,,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,,,,,
山東,,,,,,,,0.7500000000000001,,
河南,,,,,,,,,,
湖北,,,,,,,,,,
湖南,,,,,,0.07142857142857144,,,,
廣東,,,,,,,,,,
廣西壯族自治區,,,,,,,,,,
海南,,,,,,,,,,
重慶,,,,,,0.6666666666666666,,0.33333333333333337,0.5,
四川,,,,,,,1.0,,0.7333333333333334,
貴州,,,,,,,,,,
雲南,,,,,,,,,0.2727272727272727,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.6,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
