,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.35714285714285715,,1.0,,,,
山西,,0.5,0.7,,,,,,0.7222222222222222,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.16666666666666666,,,,,,,
浙江,0.5555555555555556,0.5,,,,1.0,,,0.5,0.23529411764705882
安徽,,,,,1.0,1.0,,,,
福建,,,,,,,,,,
江西,,,,,,0.6363636363636364,,,,
山東,,0.75,,,1.0,,,,,
河南,,0.7580645161290323,,,0.16494845360824742,0.6666666666666666,,,,
湖北,1.0,,,,,,,,,
湖南,,,,0.4444444444444444,0.3333333333333333,0.7857142857142858,,,,
廣東,,,,,,1.0,,0.2,0.4358974358974359,
廣西壯族自治區,,,,,,,,,0.5789473684210525,
海南,,,,,,,,,,
重慶,,,,,,,,,0.5,
四川,,,,,,,0.8571428571428572,0.14285714285714285,0.9333333333333335,
貴州,,,,,,,,,0.22222222222222224,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.625,,0.3,,,,,0.5,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
