,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,1.0,,,,
山西,,0.5,0.9,,,,,,0.8333333333333335,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.4545454545454546,,,,,,1.0,0.125,0.8823529411764706
安徽,,,,,,,,,,
福建,,,,0.33333333333333337,,,,,,
江西,,,,,,,,,,
山東,,0.75,,,,0.9166666666666666,,1.0,,
河南,,0.3548387096774193,,,0.15463917525773196,,,,,
湖北,,,,1.0,,,,,,
湖南,,,,,,0.07142857142857144,,1.0,,1.0
廣東,,,,,,0.9166666666666666,,0.8999999999999999,0.10256410256410256,
廣西壯族自治區,,,,,,,,,0.21052631578947367,
海南,,,,,,,,,,
重慶,,,,,,,,0.6666666666666667,0.5,
四川,,,,1.0,,,0.4285714285714286,,0.5333333333333333,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,0.4,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.5714285714285715,
