,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.125,0.14285714285714285,,,0.6666666666666666,,0.42857142857142855,,0.5,
天津,,0.5555555555555556,,0.23076923076923078,,,0.6666666666666667,,,
河北,0.6585365853658537,0.4428571428571429,0.08571428571428572,0.410377358490566,0.30927835051546393,0.5156950672645739,0.5750000000000001,0.5486725663716815,0.5679012345679012,0.125
山西,0.5564516129032259,0.6642335766423357,0.25,0.21739130434782608,0.5,0.6470588235294118,0.5161290322580645,0.8679245283018868,0.7448979591836735,
內蒙古自治區,,,,,,,,,0.6666666666666666,
遼寧,,,,,,1.0,,,,
吉林,,,,,,,,,,
黑龍江,,,,0.6666666666666666,,,,,,
上海,,0.5588235294117647,0.8571428571428572,1.0,,1.0,0.9180327868852459,,0.8571428571428571,
江蘇,0.6,0.46884272997032644,0.2673267326732673,0.4256198347107438,0.37499999999999994,0.12307692307692307,0.5131578947368421,0.4594594594594595,0.2629107981220657,
浙江,0.888888888888889,0.5746268656716418,0.38095238095238093,0.6346153846153846,,0.06666666666666667,0.45161290322580644,,0.6307692307692307,
安徽,0.7142857142857143,0.33199999999999996,0.22727272727272727,0.16546762589928057,0.16,0.19999999999999998,0.4180327868852459,0.27586206896551724,0.0851063829787234,
福建,,0.5833333333333333,,,,0.6666666666666667,,,0.2,0.7999999999999999
江西,,0.3111111111111111,,,1.0,0.5824175824175825,0.5,,1.0,
山東,0.37777777777777777,0.3712871287128713,0.48571428571428565,0.37867647058823534,0.3770491803278688,0.5323741007194245,0.6440677966101696,0.42948717948717946,0.55,0.3333333333333333
河南,0.5714285714285715,0.5663716814159292,0.5416666666666666,0.4776785714285714,0.6249999999999999,0.594059405940594,0.5681818181818182,0.42666666666666664,0.6795580110497237,0.8571428571428571
湖北,,,,0.3225806451612903,,0.3153846153846154,0.3352941176470588,0.11764705882352941,0.38461538461538464,
湖南,,0.32,,0.05555555555555555,,0.19444444444444442,0.21111111111111108,0.5333333333333333,0.1111111111111111,
廣東,0.7857142857142858,0.5660377358490566,0.6666666666666666,0.30952380952380953,0.4,0.3614457831325301,0.3076923076923077,0.09090909090909091,0.56,
廣西壯族自治區,1.0,0.13333333333333333,,,,0.46399999999999997,0.29411764705882354,0.4285714285714286,0.2727272727272727,
海南,,,,0.4,,1.0,,,1.0,1.0
重慶,,,,,,0.75,,0.782608695652174,,
四川,,,,,,,0.5,,0.23076923076923075,
貴州,,1.0,,,,1.0,,,0.888888888888889,
雲南,,,,,,,,,0.9,
西藏自治區,,0.0,,,,0.46153846153846156,0.2222222222222222,,,
陝西,0.34545454545454546,0.45454545454545453,,1.0,,0.3181818181818182,0.5416666666666667,0.7750000000000001,0.7796610169491525,
甘肅,,,,,,0.8,,0.4615384615384615,0.29999999999999993,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,0.5,,0.0,,,,
臺灣,0.0,,,,,,,,,
