,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.14285714285714285,,1.0,,0.5,0.35714285714285715,,0.5,
天津,,1.0,,0.3846153846153846,0.1111111111111111,0.25,0.6000000000000001,,1.0,
河北,0.4,0.4535714285714286,0.08571428571428572,0.4481132075471698,0.31958762886597936,0.41704035874439466,0.534375,0.6283185840707965,0.6419753086419753,
山西,0.16129032258064518,0.43065693430656937,,0.17391304347826086,1.0,0.3764705882352941,0.20967741935483872,0.15094339622641512,0.6836734693877551,
內蒙古自治區,,,,,,,,,0.3333333333333333,
遼寧,,,,,,,0.3333333333333333,,,
吉林,,,,,,,,,,
黑龍江,,,,1.0,,,,,,
上海,,0.17647058823529413,0.7428571428571428,0.7499999999999999,,1.0,0.4098360655737705,,0.7346938775510204,
江蘇,0.1,0.5786350148367952,0.6633663366336634,0.6239669421487604,0.5624999999999999,0.32307692307692304,0.36184210526315785,0.16216216216216217,0.49295774647887325,
浙江,,0.5970149253731344,0.4285714285714286,0.5384615384615384,,0.5333333333333333,0.5322580645161291,,0.07692307692307691,
安徽,,0.504,0.09090909090909091,0.460431654676259,0.4,0.2857142857142857,0.13934426229508196,0.3103448275862069,0.3829787234042553,
福建,,,,,,0.29629629629629634,,,,0.6
江西,,0.4888888888888889,,,,0.4835164835164835,0.44,,,
山東,0.13333333333333333,0.452970297029703,0.5,0.3455882352941177,0.1721311475409836,0.31294964028776984,0.4180790960451978,0.13461538461538464,0.27647058823529413,
河南,0.1,0.415929203539823,0.5624999999999999,0.30803571428571425,0.375,0.4653465346534653,0.21969696969696967,0.17333333333333334,0.39779005524861877,
湖北,,0.4444444444444445,0.75,0.4354838709677419,,0.43846153846153846,0.15294117647058825,0.08823529411764705,,
湖南,,0.36,,0.1111111111111111,,0.4444444444444445,0.5,0.13333333333333333,,
廣東,0.14285714285714288,0.09433962264150943,0.3333333333333333,0.2142857142857143,0.2,0.37349397590361444,0.3846153846153846,,0.04,
廣西壯族自治區,,,,0.5,,0.19200000000000003,0.29411764705882354,,0.18181818181818182,
海南,,,,0.1,,0.25,,,,
重慶,,,,,,,,,,
四川,,1.0,,0.3333333333333333,,0.5,,0.423076923076923,1.0,
貴州,,,,,,1.0,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,0.5384615384615384,0.2222222222222222,,0.7000000000000001,
陝西,0.16363636363636366,0.509090909090909,,0.5,,0.5,0.125,0.325,0.6949152542372881,
甘肅,,,,,,,,0.15384615384615383,0.29999999999999993,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
