,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.42857142857142855,,,0.3333333333333333,,0.28571428571428575,,1.0,
天津,,0.6666666666666666,,,,,0.4666666666666667,,0.09090909090909091,
河北,0.16097560975609757,0.5785714285714286,0.17142857142857143,0.4292452830188679,0.43298969072164945,0.46636771300448426,0.55625,0.5663716814159293,0.41358024691358025,
山西,0.08870967741935484,0.5985401459854015,0.25,0.34782608695652173,,0.5529411764705883,0.6290322580645161,0.6792452830188679,0.8163265306122449,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,0.33333333333333337,0.6666666666666666,,,
吉林,,,,,,,,,,
黑龍江,,,,0.6666666666666666,,,,,,
上海,,0.6323529411764706,0.5714285714285715,0.7499999999999999,,,0.6885245901639344,,0.0816326530612245,
江蘇,0.6666666666666666,0.5845697329376854,0.702970297029703,0.640495867768595,0.7916666666666667,0.4461538461538462,0.7236842105263157,0.5135135135135135,0.5915492957746479,1.0
浙江,,0.9029850746268656,0.7619047619047619,0.5,,0.5333333333333333,0.5161290322580645,,0.29230769230769227,
安徽,0.5,0.62,0.36363636363636365,0.45323741007194246,0.52,0.35714285714285715,0.5163934426229508,0.1724137931034483,0.3191489361702127,
福建,,0.5416666666666666,,1.0,0.2,0.18518518518518517,,,0.4,0.3
江西,0.6666666666666666,0.7777777777777778,,,,0.7472527472527473,0.09999999999999999,1.0,,
山東,0.4666666666666667,0.4975247524752476,0.5428571428571428,0.4448529411764706,0.32786885245901637,0.4856115107913669,0.5508474576271186,0.3525641025641026,0.4941176470588235,0.4444444444444444
河南,0.4714285714285715,0.6084070796460176,0.43749999999999994,0.29464285714285715,0.475,0.4059405940594059,0.3560606060606061,0.04,0.4585635359116022,0.14285714285714285
湖北,,0.5925925925925927,,0.4193548387096774,,0.5615384615384614,0.5352941176470588,0.2647058823529411,0.6923076923076923,1.0
湖南,,0.72,,0.05555555555555555,0.4,0.7777777777777777,0.2444444444444444,0.46666666666666673,0.05555555555555555,
廣東,,0.4339622641509434,,0.5,0.25,0.37349397590361444,0.3076923076923077,0.13636363636363638,0.44,
廣西壯族自治區,,0.13333333333333333,,0.375,0.5714285714285714,0.24000000000000002,0.3764705882352941,0.14285714285714288,0.5454545454545454,1.0
海南,,,,0.5,,0.5,,,,
重慶,,,,,,,,0.7391304347826086,,
四川,,,,0.3333333333333333,,,,0.8076923076923076,1.0,
貴州,,,,,,1.0,,,0.6666666666666667,
雲南,,,,,,,,,0.3,
西藏自治區,,0.0,,,,0.07692307692307693,,,,
陝西,0.03636363636363637,0.8363636363636364,,,,0.45454545454545453,0.20833333333333331,0.35,0.6271186440677966,
甘肅,,,,,,0.2,,0.07692307692307691,0.39999999999999997,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,0.5,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,1.0,,
