,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.625,,,,,,,,0.25,
天津,,0.22222222222222224,,0.3076923076923077,,,,,0.09090909090909091,
河北,0.3073170731707317,0.30357142857142855,,0.1650943396226415,0.3608247422680412,0.2645739910313901,0.3843750000000001,0.41592920353982304,0.4074074074074074,0.25
山西,0.3467741935483871,0.5328467153284672,0.75,0.30434782608695654,1.0,0.6588235294117648,0.24193548387096775,0.01886792452830189,0.5918367346938775,
內蒙古自治區,,,,,,1.0,,,,
遼寧,,,,,,0.33333333333333337,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.75,0.7857142857142857,0.7499999999999999,,1.0,0.2622950819672131,,0.061224489795918366,
江蘇,0.06666666666666667,0.35905044510385764,0.3465346534653465,0.3760330578512397,0.5,0.12307692307692307,0.39473684210526316,0.3783783783783784,0.1737089201877934,
浙江,,0.3582089552238806,,0.4423076923076923,,0.29999999999999993,0.3709677419354839,,,
安徽,0.07142857142857144,0.476,0.09090909090909091,0.20863309352517984,0.32,0.44285714285714284,0.4426229508196721,0.1724137931034483,0.02127659574468085,
福建,,,1.0,,,0.5185185185185186,,,,0.09999999999999999
江西,0.16666666666666666,0.4888888888888889,,,,0.6483516483516484,0.04,,,
山東,0.33333333333333337,0.297029702970297,0.45714285714285713,0.3970588235294118,0.22950819672131148,0.3381294964028777,0.44067796610169496,0.08974358974358974,0.3264705882352941,0.4444444444444444
河南,,0.3606194690265486,0.3125,0.33482142857142855,0.42499999999999993,0.2673267326732673,0.2878787878787879,0.05333333333333333,0.46408839779005523,
湖北,0.3333333333333333,0.11111111111111112,,0.16129032258064516,,0.22307692307692306,0.21176470588235294,0.058823529411764705,,
湖南,,0.04,,0.2777777777777778,,0.3333333333333333,0.1222222222222222,0.33333333333333337,,
廣東,0.3571428571428572,0.3962264150943396,,0.30952380952380953,0.2,0.14457831325301207,0.23076923076923078,,0.28,
廣西壯族自治區,,,,0.5,0.35714285714285715,0.09600000000000002,0.25882352941176473,0.14285714285714288,0.42424242424242425,
海南,,,,,,0.5,,,,
重慶,,,,,,0.75,,0.782608695652174,,
四川,,,,0.3333333333333333,,,,0.5769230769230769,0.30769230769230765,
貴州,,,,,,,,,0.33333333333333337,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,0.3333333333333333,,,
陝西,0.2363636363636364,0.7454545454545455,,,,0.2727272727272727,0.08333333333333334,0.275,0.5932203389830508,
甘肅,,,,,,,,0.15384615384615383,0.19999999999999998,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,1.0,,
