,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,1.0,,,0.35714285714285715,,0.5,
天津,,0.6666666666666666,,0.3076923076923077,,0.25,0.19999999999999998,,,
河北,0.42439024390243907,0.3821428571428571,0.45714285714285713,0.32075471698113206,0.1752577319587629,0.4304932735426009,0.371875,0.5221238938053098,0.38888888888888884,0.125
山西,0.13709677419354838,0.0072992700729927005,,0.21739130434782608,,0.03529411764705883,0.0967741935483871,,0.19387755102040818,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.05882352941176471,0.6857142857142857,0.7499999999999999,,1.0,,,,
江蘇,0.5,0.47181008902077154,0.5346534653465346,0.3553719008264463,0.4375,0.3846153846153846,0.07894736842105264,0.32432432432432434,0.3568075117370892,
浙江,0.888888888888889,0.417910447761194,0.7142857142857142,0.3269230769230769,,0.7,0.3064516129032258,,0.27692307692307694,
安徽,0.28571428571428575,0.236,0.27272727272727276,0.42446043165467623,0.32,0.42857142857142855,0.22131147540983606,0.24137931034482757,0.0851063829787234,
福建,,0.20833333333333331,,,0.8,0.6666666666666667,,,,0.7000000000000001
江西,0.16666666666666666,0.4666666666666666,,0.25,,0.43956043956043955,0.36,,,
山東,0.3111111111111111,0.21039603960396042,0.34285714285714286,0.35294117647058826,0.11475409836065574,0.3597122302158273,0.3276836158192091,0.2948717948717949,0.3205882352941176,1.0
河南,0.14285714285714288,0.24778761061946902,0.5624999999999999,0.23214285714285712,0.049999999999999996,0.24752475247524752,0.23484848484848483,0.18666666666666668,0.09944751381215469,0.14285714285714285
湖北,,0.2592592592592593,,0.19354838709677416,,0.3384615384615384,0.29411764705882354,0.20588235294117646,0.23076923076923078,
湖南,0.2857142857142857,,,0.3333333333333333,0.2,0.05555555555555556,0.14444444444444443,0.46666666666666673,0.38888888888888884,
廣東,0.5714285714285715,0.32075471698113206,0.5714285714285714,0.14285714285714285,0.5,0.6144578313253012,0.28205128205128205,0.5,0.52,
廣西壯族自治區,,0.39999999999999997,,,0.07142857142857142,0.2,0.047058823529411764,,0.30303030303030304,
海南,,,,0.8,,,,,,
重慶,,,,,,0.5,,0.9130434782608696,,
四川,,,,0.3333333333333333,,,0.5,0.3846153846153846,1.0,
貴州,,,,,,,,,0.22222222222222224,
雲南,,,,,,,,,0.3,
西藏自治區,,0.0,,,,,,,,
陝西,0.14545454545454548,0.01818181818181818,,,,0.09090909090909091,0.20833333333333331,0.55,0.2542372881355932,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
