,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,0.008064516129032258,,,,,,,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,0.0594059405940594,,,,,,,
浙江,,0.0373134328358209,,,,,,,0.12307692307692308,
安徽,,,,,,0.04285714285714286,,,,
福建,,,,,,,,,,
江西,,,,,,,,,,
山東,,0.02227722772277228,,,,0.03956834532374101,,,,
河南,,0.09734513274336283,,,0.475,0.06930693069306931,,,,
湖北,,,,0.04838709677419354,,,,,,
湖南,,,,,,,,,,
廣東,,,,,,,,,0.28,
廣西壯族自治區,,,,,,,,,,
海南,,,,,,,,,,
重慶,,,,,,,,,,
四川,,,,,,,,,,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.01818181818181818,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
