,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,0.16666666666666666,0.5,,,,
天津,,,,,0.1111111111111111,,,,,
河北,0.024390243902439025,0.04642857142857143,0.02857142857142857,0.018867924528301886,0.07216494845360824,0.1569506726457399,0.07187500000000001,0.10619469026548672,0.2530864197530864,0.25
山西,0.040322580645161296,0.18978102189781024,,0.3913043478260869,,0.047058823529411764,0.14516129032258066,0.5660377358490566,0.326530612244898,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.22058823529411764,0.14285714285714288,,,1.0,,,0.061224489795918366,
江蘇,0.1,0.1483679525222552,0.0297029702970297,0.16115702479338845,0.0625,,0.18421052631578946,0.13513513513513511,0.107981220657277,
浙江,,0.08208955223880597,,0.07692307692307693,,0.09999999999999999,,,0.03076923076923077,
安徽,,0.011999999999999999,,0.19424460431654675,,0.08571428571428572,0.3114754098360656,0.27586206896551724,0.06382978723404255,
福建,,,,,,,,,,
江西,,0.26666666666666666,,,,0.2857142857142857,0.04,,,
山東,,0.09158415841584158,0.14285714285714285,0.11397058823529412,0.00819672131147541,0.0683453237410072,0.09322033898305085,0.46153846153846156,0.1264705882352941,0.5555555555555556
河南,0.1,0.15265486725663718,0.25,0.2544642857142857,0.175,0.039603960396039604,0.01515151515151515,0.27999999999999997,0.22099447513812154,
湖北,0.3333333333333333,,,0.03225806451612903,,0.13076923076923075,0.06470588235294118,0.058823529411764705,0.07692307692307693,
湖南,,,,0.16666666666666666,,0.19444444444444442,0.04444444444444444,,,
廣東,,0.05660377358490567,,0.04761904761904762,,,0.10256410256410256,,0.11999999999999998,
廣西壯族自治區,,,,,,0.04,0.03529411764705882,,0.030303030303030304,
海南,,,,,,,,0.5,,
重慶,,,,,,0.75,,,,
四川,,,,,,,,,,
貴州,,,,,,,,,,
雲南,,,,,,,,1.0,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.3818181818181818,,,,,0.04166666666666667,0.325,0.5423728813559321,
甘肅,,,,,,,,0.07692307692307691,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
