,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,1.0,0.16666666666666666,,0.28571428571428575,,0.25,
天津,,0.11111111111111112,,0.07692307692307693,,,0.4666666666666667,,0.8181818181818182,
河北,0.42439024390243907,0.3821428571428571,0.2,0.37264150943396224,0.23711340206185566,0.3721973094170403,0.35625,0.5752212389380532,0.4753086419753086,
山西,0.2903225806451613,0.3722627737226277,1.0,0.34782608695652173,0.5,0.2705882352941177,0.4032258064516129,0.6037735849056605,0.8877551020408164,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,0.6666666666666667,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.6176470588235294,0.7285714285714286,0.7499999999999999,,1.0,0.9180327868852459,,0.8163265306122448,
江蘇,0.7,0.4065281899109793,0.3861386138613861,0.6074380165289256,0.4166666666666667,0.24615384615384614,0.5657894736842105,0.6486486486486487,0.4694835680751173,0.6666666666666666
浙江,0.888888888888889,0.5373134328358209,0.47619047619047616,0.6730769230769231,,0.4666666666666666,0.6935483870967742,,0.4307692307692308,
安徽,0.14285714285714288,0.42799999999999994,0.22727272727272727,0.26618705035971224,0.27999999999999997,0.21428571428571427,0.3524590163934426,0.3793103448275862,0.0851063829787234,
福建,,0.625,,,0.6000000000000001,0.18518518518518517,,,0.2,0.7999999999999999
江西,0.8333333333333333,0.35555555555555557,,0.5,,0.4835164835164835,0.22,,,
山東,0.4444444444444445,0.4108910891089109,0.5428571428571428,0.34191176470588236,0.21311475409836067,0.60431654676259,0.4265536723163842,0.3717948717948718,0.5264705882352941,1.0
河南,0.6428571428571429,0.4491150442477876,0.6666666666666666,0.2901785714285714,0.575,0.2673267326732673,0.16666666666666666,0.3333333333333333,0.35359116022099446,0.2857142857142857
湖北,,0.29629629629629634,,0.2258064516129032,,0.3461538461538461,0.4117647058823529,0.4411764705882352,0.23076923076923078,
湖南,,,,0.1111111111111111,,0.3055555555555556,0.42222222222222217,0.7333333333333333,0.3333333333333333,
廣東,0.6428571428571429,0.1509433962264151,0.6190476190476191,0.1904761904761905,0.45000000000000007,0.46987951807228917,0.2564102564102564,0.40909090909090906,0.4799999999999999,
廣西壯族自治區,,0.4666666666666667,,0.25,0.7857142857142856,0.152,0.22352941176470587,0.28571428571428575,0.30303030303030304,
海南,,,,,,,,,0.75,
重慶,,,,,,,,0.7391304347826086,,
四川,,,,,,,0.5,0.5,0.7692307692307692,
貴州,,,,,,,,,0.6666666666666667,
雲南,,,,,,,,,0.4,
西藏自治區,,0.0,,,,,,,,
陝西,0.3272727272727273,0.18181818181818182,,,,0.36363636363636365,0.33333333333333337,0.55,0.5254237288135593,
甘肅,,,,,,1.0,,0.23076923076923075,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
