,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.625,,,,,,,,,
天津,,,,,,,,,0.09090909090909091,
河北,0.25365853658536586,0.039285714285714285,,0.09433962264150943,0.09278350515463916,0.13004484304932734,0.11562500000000002,0.14159292035398233,0.06790123456790123,0.375
山西,,0.1678832116788321,,0.21739130434782608,,,0.12903225806451613,0.01886792452830189,0.28571428571428575,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.1323529411764706,0.4428571428571429,,,,0.5245901639344261,,0.7755102040816325,
江蘇,0.6333333333333333,0.12759643916913946,0.009900990099009901,0.08264462809917356,0.3333333333333333,0.15384615384615383,0.21710526315789475,0.24324324324324326,0.37558685446009393,
浙江,0.22222222222222224,0.16417910447761194,,,,0.16666666666666666,0.3225806451612903,,0.5538461538461539,
安徽,0.07142857142857144,0.15999999999999998,,0.014388489208633094,0.16,0.2571428571428571,0.02459016393442623,0.13793103448275862,0.14893617021276595,
福建,,,,,0.6000000000000001,0.2592592592592593,,,0.4,0.09999999999999999
江西,0.3333333333333333,0.044444444444444446,,0.5,,0.01098901098901099,0.12,,,
山東,0.044444444444444446,0.13366336633663367,,0.08823529411764706,0.13934426229508196,0.18705035971223022,0.16666666666666666,0.20512820512820512,0.15588235294117647,0.3333333333333333
河南,0.15714285714285717,0.15486725663716816,0.020833333333333332,0.049107142857142856,,0.11881188118811882,0.09848484848484847,0.14666666666666667,0.06629834254143646,0.5714285714285714
湖北,,,,0.016129032258064516,,0.12307692307692307,0.058823529411764705,0.14705882352941177,0.15384615384615385,
湖南,,,,0.2222222222222222,,0.02777777777777778,0.01111111111111111,0.2,0.1111111111111111,
廣東,,,,0.09523809523809525,0.25,0.6626506024096386,0.07692307692307693,,0.28,
廣西壯族自治區,,,,,,0.17600000000000002,0.047058823529411764,0.28571428571428575,0.15151515151515152,
海南,,,,,,,,,,
重慶,,,,,,,,0.6956521739130435,,
四川,,,,,,,,0.7307692307692307,,
貴州,,,,,,,,,,
雲南,,,,,,,,1.0,,
西藏自治區,,0.0,,,,,,,,
陝西,0.18181818181818185,,,,,,,0.1,0.06779661016949151,
甘肅,,,,,,0.6000000000000001,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
