,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,0.4666666666666667,,,
河北,0.029268292682926828,0.05,,0.028301886792452827,0.030927835051546393,0.013452914798206279,0.08750000000000001,0.1504424778761062,0.11728395061728393,
山西,0.056451612903225805,0.029197080291970802,,,,,0.12903225806451613,,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.6764705882352942,,,,,0.032786885245901634,,0.5102040816326531,
江蘇,,0.0682492581602374,0.2871287128712871,0.06611570247933884,,0.16923076923076924,0.03289473684210526,0.32432432432432434,0.09389671361502348,
浙江,0.888888888888889,0.3283582089552239,,,,0.06666666666666667,0.11290322580645161,,0.15384615384615383,
安徽,,0.10399999999999998,0.09090909090909091,0.007194244604316547,0.12,0.08571428571428572,0.07377049180327869,0.20689655172413793,0.06382978723404255,
福建,,0.125,,,0.6000000000000001,0.14814814814814817,,,,0.09999999999999999
江西,0.16666666666666666,0.06666666666666667,,,,0.04395604395604396,0.06,,,
山東,0.044444444444444446,0.05198019801980198,,0.08088235294117647,0.03278688524590164,0.2158273381294964,0.2033898305084746,0.2371794871794872,0.14705882352941174,0.5555555555555556
河南,0.2,0.05973451327433628,,0.06696428571428571,,0.029702970297029705,0.007575757575757575,0.18666666666666668,0.0718232044198895,
湖北,,,,0.06451612903225806,,0.06923076923076922,0.12352941176470589,0.14705882352941177,0.6153846153846154,
湖南,,0.08,,0.4444444444444444,,0.16666666666666666,0.09999999999999999,0.2,,
廣東,,0.07547169811320754,0.3333333333333333,,0.2,0.3132530120481927,,,0.11999999999999998,
廣西壯族自治區,,,,,,0.008,0.023529411764705882,,0.030303030303030304,
海南,,,,,,,,,,
重慶,,,,,,,,,,
四川,,,,0.3333333333333333,,,,,,
貴州,,,,,,,,,0.888888888888889,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,0.018181818181818184,,,,,,0.04166666666666667,,,
甘肅,,,,,,,,,0.19999999999999998,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
