,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.125,0.42857142857142855,,,,,0.42857142857142855,,0.25,
天津,,,,0.3076923076923077,0.2222222222222222,0.5,0.4666666666666667,,,
河北,0.4585365853658537,0.3892857142857143,0.2571428571428571,0.20283018867924527,0.4742268041237113,0.4439461883408072,0.43437500000000007,0.4424778761061947,0.32716049382716045,0.25
山西,0.3709677419354839,0.3868613138686131,,,0.5,0.6000000000000001,0.3870967741935484,0.4528301886792453,0.7755102040816327,
內蒙古自治區,,,,,,1.0,,,,
遼寧,,,,,,,0.6666666666666666,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.6470588235294118,0.2571428571428571,0.7499999999999999,,1.0,0.7049180327868853,,0.9183673469387754,
江蘇,0.6666666666666666,0.4807121661721069,0.5841584158415842,0.5165289256198347,0.4791666666666667,0.19999999999999998,0.5263157894736842,0.27027027027027023,0.19248826291079812,
浙江,,0.6194029850746269,1.0,0.7307692307692307,,0.4333333333333333,0.48387096774193555,,0.1846153846153846,
安徽,0.2142857142857143,0.20799999999999996,,0.40287769784172656,0.16,0.45714285714285713,0.3114754098360656,0.3448275862068966,0.19148936170212766,
福建,,0.16666666666666666,1.0,,0.8,0.6296296296296297,,,,0.7000000000000001
江西,0.5,0.5333333333333333,1.0,1.0,,0.5824175824175825,0.36,,,1.0
山東,0.4222222222222222,0.4455445544554456,0.2714285714285714,0.16911764705882354,0.30327868852459017,0.3705035971223022,0.2598870056497175,0.16025641025641027,0.43235294117647055,0.5555555555555556
河南,0.2285714285714286,0.3163716814159292,0.41666666666666663,0.42410714285714285,0.125,0.48514851485148514,0.303030303030303,0.14666666666666667,0.29834254143646405,
湖北,0.6666666666666666,0.1851851851851852,0.25,0.19354838709677416,,0.22307692307692306,0.13529411764705884,0.2647058823529411,,
湖南,,0.4,,0.16666666666666666,,0.3055555555555556,0.2333333333333333,0.33333333333333337,0.2222222222222222,
廣東,0.4285714285714286,0.24528301886792456,0.2857142857142857,0.1904761904761905,0.05,0.12048192771084337,0.28205128205128205,0.5,0.68,
廣西壯族自治區,,0.4666666666666667,,,0.6428571428571429,0.248,0.47058823529411764,,0.3333333333333333,
海南,,,,0.9,,,,1.0,,
重慶,,,,,,0.75,,0.8695652173913043,,
四川,,,,0.3333333333333333,,,0.5,0.846153846153846,0.6153846153846153,
貴州,,,,,,1.0,,,0.7777777777777778,
雲南,1.0,,,,,,,,0.7,
西藏自治區,,0.0,,,,0.46153846153846156,0.7777777777777778,,0.1,
陝西,0.3272727272727273,0.5818181818181818,,0.5,,0.3181818181818182,0.20833333333333331,0.35,0.5762711864406779,
甘肅,0.375,,,,,,,0.15384615384615383,0.09999999999999999,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,1.0,
