,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,0.2222222222222222,,,,0.36363636363636365,
河北,0.21951219512195122,0.1,,0.11320754716981131,0.1958762886597938,0.15246636771300448,0.225,0.12389380530973451,0.20987654320987653,
山西,0.048387096774193554,0.029197080291970802,,0.2608695652173913,0.5,0.1647058823529412,0.0967741935483871,0.30188679245283023,0.5102040816326531,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.04411764705882353,0.6857142857142857,0.7499999999999999,,1.0,0.24590163934426226,,0.7959183673469387,
江蘇,0.13333333333333333,0.10682492581602375,0.43564356435643564,0.1900826446280992,0.39583333333333337,0.12307692307692307,0.14473684210526316,0.08108108108108109,0.352112676056338,
浙江,,0.208955223880597,0.9047619047619047,0.4230769230769231,,0.09999999999999999,0.5483870967741935,,0.4461538461538461,
安徽,0.2142857142857143,0.112,,0.08633093525179855,0.12,0.04285714285714286,0.05737704918032787,0.27586206896551724,0.10638297872340424,
福建,,0.20833333333333331,,,0.4,0.07407407407407408,,,0.2,0.09999999999999999
江西,0.16666666666666666,0.08888888888888889,,,,0.14285714285714285,0.04,,,0.5
山東,0.17777777777777778,0.2004950495049505,0.4714285714285714,0.15441176470588236,0.16393442622950818,0.2913669064748201,0.18926553672316387,0.27564102564102566,0.36176470588235293,0.4444444444444444
河南,0.4571428571428572,0.16150442477876104,0.125,0.03571428571428571,0.09999999999999999,0.12871287128712872,,0.12000000000000001,0.3646408839779005,
湖北,,0.2592592592592593,,0.08064516129032258,,0.04615384615384615,0.052941176470588235,0.08823529411764705,0.15384615384615385,
湖南,,0.04,,0.05555555555555555,,,0.1222222222222222,0.26666666666666666,0.05555555555555555,
廣東,,0.018867924528301886,0.3333333333333333,,0.15000000000000002,0.26506024096385544,0.15384615384615385,0.36363636363636365,0.11999999999999998,
廣西壯族自治區,,,,0.25,0.07142857142857142,0.13599999999999998,0.08235294117647059,0.14285714285714288,0.09090909090909091,0.5
海南,,,,,,,,,,
重慶,,,,,,0.5,,0.391304347826087,,
四川,,,,,,,0.5,0.2692307692307692,,
貴州,,,,,,,,,0.11111111111111112,
雲南,,,,,,,,,0.3,
西藏自治區,,0.0,,,,,,,,
陝西,0.03636363636363637,,,,,0.09090909090909091,0.08333333333333334,0.325,0.06779661016949151,
甘肅,,,,,,0.6000000000000001,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,1.0,,
