,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.8333333333333333,,,0.5,,,,,
天津,,,,,0.25,,,,,
河北,0.36363636363636365,0.6016260162601627,0.7105263157894737,0.057142857142857134,0.375,0.4086021505376344,0.33962264150943394,0.24096385542168675,0.3231441048034934,0.8
山西,0.4583333333333333,0.5137614678899083,,0.1714285714285714,,0.12000000000000002,0.6521739130434783,0.7142857142857142,0.7972350230414748,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.09090909090909091
上海,,0.591304347826087,0.36363636363636365,0.5111111111111111,,0.5517241379310345,0.2222222222222222,,0.656,
江蘇,0.26785714285714285,0.4504504504504504,0.25,0.37264150943396224,0.6226415094339623,0.3253012048192771,0.8250000000000001,0.19354838709677422,0.23863636363636365,
浙江,0.5,0.6724137931034482,1.0,0.3614457831325302,0.6483516483516484,0.2892561983471074,0.6206896551724138,0.23880597014925375,0.18888888888888888,0.8181818181818181
安徽,1.0,0.2947368421052632,,0.2463768115942029,0.16666666666666669,0.2833333333333333,0.5312499999999999,0.19999999999999998,,
福建,0.07894736842105263,0.08823529411764706,0.05263157894736842,0.22807017543859648,,0.2222222222222222,,,,
江西,0.26086956521739135,0.07142857142857144,,0.27027027027027023,0.2,0.3305785123966942,0.3043478260869565,0.38,0.1111111111111111,
山東,0.75,0.1388888888888889,0.39999999999999997,0.3395061728395061,0.48750000000000004,0.3687150837988827,0.5346534653465346,0.49137931034482757,0.5964285714285714,0.7551020408163265
河南,0.4782608695652174,0.6313868613138687,0.22641509433962265,0.5175438596491229,0.40206185567010305,0.10526315789473685,0.8333333333333334,0.5357142857142857,0.5560975609756098,0.3333333333333333
湖北,0.2142857142857143,0.18,0.3111111111111111,0.14285714285714288,,0.2890625,0.6190476190476191,0.5333333333333333,0.11764705882352941,
湖南,0.18571428571428572,0.034482758620689655,0.1111111111111111,0.04081632653061224,,0.2558139534883721,0.21739130434782608,0.20689655172413793,0.034482758620689655,1.0
廣東,,0.275,0.24528301886792453,0.3125,0.35135135135135137,0.14285714285714285,0.4285714285714286,,0.15068493150684933,
廣西壯族自治區,,0.034482758620689655,,0.045454545454545456,,0.11111111111111112,,0.02702702702702703,0.18181818181818182,
海南,,,,,,0.2857142857142857,,,0.09523809523809523,
重慶,,,,,,0.7142857142857143,,1.0,,
四川,0.05263157894736842,,,,,,,0.45833333333333337,0.16666666666666669,
貴州,,,,,,,,0.125,0.33333333333333337,
雲南,,0.3181818181818182,,,0.09803921568627452,0.1111111111111111,,0.08474576271186442,0.125,
西藏自治區,,0.0,,,,,,,,
陝西,0.75,0.5106382978723404,,0.125,,0.2222222222222222,0.14285714285714288,0.7428571428571429,0.746268656716418,
甘肅,,0.14285714285714285,,,,0.25,,,0.3076923076923077,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
