,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,0.4,,,,
天津,,1.0,,0.5,0.125,0.5,,,0.3333333333333333,
河北,0.3090909090909091,0.6178861788617886,0.5789473684210527,0.19999999999999998,0.46875,0.5967741935483871,0.4716981132075471,0.12048192771084337,0.37554585152838427,
山西,0.16666666666666666,0.4862385321100917,0.1,0.3714285714285714,,0.1,,0.2095238095238095,0.8294930875576038,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.21739130434782608,0.1111111111111111
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.09090909090909091
上海,,0.23478260869565218,0.6818181818181818,0.2,,0.9655172413793103,,,0.352,
江蘇,0.5535714285714286,0.7477477477477477,0.3333333333333333,0.6886792452830188,0.49056603773584906,0.5060240963855421,0.65,0.19354838709677422,0.3068181818181819,
浙江,,0.3879310344827586,0.6666666666666666,0.14457831325301207,0.31868131868131866,0.2809917355371901,0.4482758620689655,0.13432835820895525,0.26666666666666666,0.3636363636363636
安徽,0.5,0.43157894736842106,0.7777777777777778,0.5217391304347826,0.5,0.29999999999999993,0.015625,0.44,0.08333333333333334,
福建,0.10526315789473685,,0.10526315789473684,0.19298245614035087,0.058823529411764705,0.05555555555555555,0.19999999999999998,0.5,,
江西,0.08695652173913043,0.5,0.25,0.2027027027027027,0.17142857142857146,0.5454545454545454,0.5652173913043479,0.5,,
山東,0.625,0.7083333333333333,0.48,0.46296296296296297,0.35,0.3687150837988827,0.46534653465346537,0.17241379310344826,0.2928571428571428,0.12244897959183673
河南,,0.4051094890510949,0.2830188679245283,0.37719298245614036,0.6597938144329897,0.03508771929824561,,0.03571428571428571,0.38536585365853665,0.3333333333333333
湖北,0.07142857142857142,0.32,0.2222222222222222,0.14285714285714288,,0.44531250000000006,,0.06666666666666667,,
湖南,0.0857142857142857,0.2413793103448276,0.3333333333333333,0.20408163265306123,0.1875,0.26744186046511625,0.2608695652173913,,0.034482758620689655,1.0
廣東,0.10526315789473684,0.15000000000000002,0.7735849056603774,0.15625,,0.02857142857142857,0.35714285714285715,,0.05479452054794521,
廣西壯族自治區,,0.06896551724137931,,0.2272727272727273,0.09090909090909091,0.11111111111111112,,0.05405405405405406,0.045454545454545456,
海南,0.8333333333333334,0.33333333333333337,,,,,,,,
重慶,,,1.0,,,,,,0.14285714285714285,
四川,,0.125,0.8181818181818182,,0.23076923076923075,0.19999999999999998,0.5,0.16666666666666669,0.5238095238095238,
貴州,,,,,,0.27272727272727276,,,,
雲南,,0.13636363636363635,,0.0909090909090909,0.11764705882352941,0.04444444444444444,,,0.10416666666666667,
西藏自治區,,0.0,,,,,,,,
陝西,,0.6595744680851063,,,,0.16666666666666666,,0.19999999999999998,0.6865671641791046,
甘肅,,0.2857142857142857,,0.25,,,,0.11999999999999998,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
