,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,0.3,,,,
天津,,,,,,,,,,
河北,0.36363636363636365,0.5121951219512195,0.35526315789473684,0.22857142857142854,0.46875,0.4139784946236559,0.018867924528301886,0.0963855421686747,0.42358078602620086,
山西,0.16666666666666666,0.6605504587155964,,0.5999999999999999,,0.04,0.2608695652173913,0.24761904761904763,0.7465437788018434,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.30434782608695654,0.5
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.4608695652173913,0.5909090909090908,0.4444444444444445,,0.9655172413793103,,0.7241379310344828,0.304,
江蘇,0.625,0.5765765765765766,0.375,0.6650943396226414,0.6415094339622641,0.5662650602409638,0.7,0.7096774193548387,0.10227272727272728,
浙江,0.23333333333333334,0.4655172413793103,,0.45783132530120485,0.6153846153846154,0.6198347107438016,0.5517241379310345,0.44776119402985076,0.2222222222222222,
安徽,1.0,0.42105263157894735,0.1111111111111111,0.5797101449275363,0.7500000000000001,0.4,0.7187499999999999,0.44,0.08333333333333334,
福建,0.6052631578947368,0.14705882352941177,0.5263157894736842,0.22807017543859648,0.23529411764705882,0.08333333333333333,0.39999999999999997,,0.04347826086956522,
江西,0.5869565217391305,0.40476190476190477,0.5,0.29729729729729726,0.14285714285714288,0.4545454545454546,0.2608695652173913,0.18,,
山東,,0.7708333333333334,0.48,0.888888888888889,0.5375,0.32402234636871513,0.21782178217821782,0.15517241379310345,0.40714285714285714,0.02040816326530612
河南,0.3043478260869565,0.5109489051094891,0.3773584905660377,0.8157894736842105,0.7731958762886598,0.1754385964912281,,0.10714285714285715,0.5219512195121951,
湖北,0.5357142857142857,0.4,0.4222222222222222,0.14285714285714288,0.30000000000000004,0.5078125,0.19047619047619047,,,
湖南,0.6,0.1724137931034483,1.0,0.30612244897959184,0.125,0.4186046511627907,0.47826086956521735,0.20689655172413793,0.13793103448275862,1.0
廣東,0.10526315789473684,0.375,0.7358490566037736,0.34375,0.02702702702702703,0.17142857142857146,0.38095238095238093,0.125,0.17808219178082194,
廣西壯族自治區,0.5555555555555556,0.2413793103448276,,0.2727272727272727,0.27272727272727276,0.05555555555555556,0.4,0.08108108108108109,0.1590909090909091,
海南,0.8333333333333334,0.4285714285714286,,,,0.07142857142857142,,,0.09523809523809523,
重慶,0.7,,,,,0.6428571428571429,,,,
四川,0.7368421052631579,0.6250000000000001,,,0.4615384615384615,0.19999999999999998,0.5,0.33333333333333337,0.3571428571428571,
貴州,0.6666666666666666,,,,,0.22727272727272727,0.16666666666666666,0.75,0.33333333333333337,
雲南,1.0,0.4090909090909091,,,0.1568627450980392,0.06666666666666667,0.09523809523809523,0.016949152542372885,0.041666666666666664,
西藏自治區,,0.0,,,,,,,,
陝西,,0.8829787234042553,,0.5,,0.05555555555555555,,0.2571428571428572,0.8059701492537314,
甘肅,,0.14285714285714285,,0.25,0.25,0.25,,0.27999999999999997,0.15384615384615385,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,0.42857142857142855,,
