,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,0.125,,,,1.0,
河北,0.27272727272727276,0.5447154471544716,0.32894736842105265,0.3142857142857143,0.625,0.4193548387096774,0.3584905660377358,0.1566265060240964,0.3231441048034934,0.2
山西,0.1875,0.07339449541284404,0.06666666666666667,0.0857142857142857,,0.16,,0.18095238095238092,,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.043478260869565216,0.5555555555555556
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.6363636363636364
上海,,0.4434782608695652,0.36363636363636365,0.2,,0.9655172413793103,,,0.16,
江蘇,0.5892857142857143,0.49549549549549543,0.2916666666666667,0.5754716981132075,0.5283018867924528,0.7590361445783133,0.125,0.19354838709677422,0.2272727272727273,
浙江,0.3666666666666667,0.5517241379310345,1.0,0.21686746987951808,0.43956043956043955,0.5619834710743802,0.7241379310344828,0.22388059701492538,0.26666666666666666,0.909090909090909
安徽,1.0,0.5684210526315789,0.7777777777777778,0.42028985507246375,0.4166666666666667,0.4666666666666666,0.328125,0.19999999999999998,0.08333333333333334,
福建,0.052631578947368425,0.2647058823529412,0.5263157894736842,0.2456140350877193,0.23529411764705882,0.08333333333333333,0.19999999999999998,0.5,0.2608695652173913,
江西,0.5434782608695653,0.40476190476190477,0.25,0.3513513513513513,0.028571428571428574,0.7024793388429752,0.21739130434782608,0.5,,
山東,0.125,0.2569444444444444,0.16,0.3641975308641975,0.175,0.4245810055865922,0.4158415841584158,0.3103448275862069,0.3357142857142857,0.42857142857142855
河南,0.5217391304347826,0.26277372262773724,0.4528301886792453,0.07017543859649122,0.08247422680412371,0.3684210526315789,,0.14285714285714285,0.4634146341463415,
湖北,0.2857142857142857,0.5199999999999999,0.5777777777777777,0.5714285714285715,0.30000000000000004,0.7890625000000001,0.09523809523809523,0.6,0.3529411764705882,
湖南,0.2857142857142857,0.3103448275862069,0.6666666666666666,0.26530612244897955,0.0625,0.43023255813953487,0.608695652173913,0.1724137931034483,0.06896551724137931,
廣東,0.3157894736842105,0.225,0.6981132075471699,0.03125,0.2702702702702703,0.37142857142857144,0.2142857142857143,0.25,0.4109589041095891,
廣西壯族自治區,,0.17241379310344826,,0.045454545454545456,0.27272727272727276,0.25,0.4,0.02702702702702703,0.2159090909090909,
海南,,,,,,,,0.6000000000000001,0.09523809523809523,
重慶,,,,,,0.21428571428571427,,0.6,0.14285714285714285,
四川,,0.25,0.8181818181818182,,,0.6,1.0,0.5416666666666667,0.2142857142857143,
貴州,,0.1,,,,0.27272727272727276,,,0.22222222222222224,
雲南,,0.2727272727272727,,0.0909090909090909,0.27450980392156865,0.17777777777777776,0.09523809523809523,0.13559322033898308,0.2916666666666667,
西藏自治區,,0.0,,,,,0.5,,,
陝西,0.75,0.010638297872340425,,0.125,,,0.42857142857142855,0.5142857142857143,0.22388059701492538,
甘肅,,,,,,,,0.15999999999999998,0.07692307692307693,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.3333333333333333,,,0.42857142857142855,0.14285714285714288,
