,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.0783410138248848,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,,0.034482758620689655,,,,,,,0.022222222222222223,0.3636363636363636
安徽,,,,,,0.05,,,,
福建,,,,,,,,,,
江西,,,,,,,,,,
山東,,,,,,,,,,
河南,,0.15328467153284672,,,0.46391752577319584,,,,,
湖北,,,,,,,,,,
湖南,,,,,,0.011627906976744188,,,,
廣東,,,,,,,,,0.05479452054794521,
廣西壯族自治區,,,,,,,,0.05405405405405406,0.034090909090909095,
海南,,,,,,,,,,
重慶,,,,,,0.07142857142857142,,,,
四川,,,,,,,,,0.16666666666666669,
貴州,,,,,,,,,,
雲南,,,,,,,,,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.02127659574468085,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
