,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,0.5,0.2,,,,
天津,,,,,0.125,,,,,
河北,0.09090909090909091,0.10569105691056911,0.013157894736842106,0.11428571428571427,0.21874999999999997,0.18817204301075266,0.4339622641509434,0.14457831325301204,0.17903930131004364,0.4
山西,0.10416666666666666,0.23853211009174313,,0.2571428571428571,,0.08,0.391304347826087,0.2857142857142857,0.14746543778801843,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.13043478260869565,0.4545454545454546,,,0.24137931034482757,,,0.024000000000000004,
江蘇,0.05357142857142857,0.4504504504504504,0.125,0.18396226415094338,0.05660377358490567,,0.7,0.16129032258064516,0.2613636363636364,
浙江,,0.09482758620689655,,0.04819277108433735,,0.024793388429752067,,,0.022222222222222223,
安徽,,0.03157894736842105,,0.19565217391304346,,0.1,0.59375,0.31999999999999995,0.25,
福建,,,,,,,,,,
江西,,0.28571428571428575,,,,0.21487603305785125,0.08695652173913043,,,
山東,,0.2569444444444444,0.39999999999999997,0.19135802469135801,0.0125,0.10614525139664804,0.32673267326732675,0.6206896551724138,0.15357142857142855,0.1020408163265306
河南,0.3043478260869565,0.2518248175182482,0.22641509433962265,0.5,0.07216494845360824,0.07017543859649122,0.33333333333333337,0.75,0.1951219512195122,
湖北,0.03571428571428571,,,0.14285714285714288,,0.1328125,0.5238095238095238,0.13333333333333333,0.0196078431372549,
湖南,,,,0.061224489795918366,,0.0813953488372093,0.17391304347826086,,,
廣東,,0.07500000000000001,,0.0625,,,0.09523809523809523,,0.0410958904109589,
廣西壯族自治區,,,,,,0.1388888888888889,0.30000000000000004,,0.011363636363636364,
海南,,,,,,,,0.1,,
重慶,,,,,,0.21428571428571427,,,,
四川,,,,,,,,,,
貴州,,,,,,,,,,
雲南,,,,,,,,0.016949152542372885,,
西藏自治區,,0.0,,,,,,,,
陝西,,0.22340425531914893,,,,,0.14285714285714288,0.37142857142857144,0.47761194029850745,
甘肅,,,,,,,,0.039999999999999994,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
