,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.625,1.0,,,,0.1,,,0.3333333333333333,
天津,,,,,,,,,1.0,
河北,0.21818181818181817,0.6829268292682927,0.5394736842105263,0.3142857142857143,0.21874999999999997,0.3172043010752688,0.5283018867924528,0.22891566265060243,0.3799126637554585,
山西,0.22916666666666666,0.41284403669724773,0.06666666666666667,0.22857142857142856,,0.16,0.47826086956521735,0.5238095238095238,0.7557603686635944,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,0.05555555555555555
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.09090909090909091
上海,,0.8695652173913043,0.36363636363636365,0.5555555555555556,,0.896551724137931,1.0,1.0,0.7680000000000001,
江蘇,0.42857142857142855,0.6036036036036035,0.3333333333333333,0.4952830188679245,0.37735849056603776,0.4096385542168675,0.575,0.2903225806451613,0.44318181818181823,
浙江,0.2,0.5603448275862069,,0.1807228915662651,0.6153846153846154,0.3305785123966942,0.4482758620689655,0.4626865671641791,0.4666666666666667,0.909090909090909
安徽,1.0,0.34736842105263155,0.1111111111111111,0.2318840579710145,,0.3166666666666667,0.4375,0.15999999999999998,0.25,
福建,0.2631578947368421,0.3235294117647059,0.10526315789473684,0.33333333333333337,,0.2222222222222222,,0.5,0.2608695652173913,1.0
江西,0.5217391304347827,0.11904761904761904,,0.3108108108108108,0.48571428571428577,0.3388429752066116,0.43478260869565216,0.39999999999999997,0.1111111111111111,
山東,,0.2708333333333333,0.32,0.2716049382716049,0.35,0.3798882681564246,0.504950495049505,0.33620689655172414,0.6928571428571428,0.7959183673469388
河南,0.7826086956521738,0.45255474452554745,0.3962264150943396,0.1929824561403509,0.44329896907216493,0.12280701754385966,0.8333333333333334,0.17857142857142858,0.5609756097560976,
湖北,0.25,0.1,0.3333333333333333,,0.1,0.25,0.09523809523809523,0.46666666666666673,0.23529411764705882,
湖南,0.18571428571428572,0.41379310344827586,0.2222222222222222,0.08163265306122448,0.25,0.3255813953488372,0.5652173913043478,0.27586206896551724,0.034482758620689655,
廣東,0.10526315789473684,0.07500000000000001,0.24528301886792453,0.0625,0.1891891891891892,0.37142857142857144,0.5952380952380952,0.25,0.31506849315068497,
廣西壯族自治區,0.44444444444444453,0.13793103448275862,1.0,0.36363636363636365,0.18181818181818182,0.16666666666666669,,0.2972972972972973,0.3522727272727273,
海南,,0.4285714285714286,,,,0.42857142857142855,1.0,0.30000000000000004,0.3333333333333333,
重慶,,,,,,0.14285714285714285,1.0,,,
四川,,,0.27272727272727276,,0.15384615384615383,0.39999999999999997,,0.5416666666666667,0.2857142857142857,
貴州,,0.1,,,,0.22727272727272727,0.16666666666666666,0.125,0.05555555555555556,
雲南,,0.45454545454545453,,,0.1568627450980392,0.04444444444444444,0.09523809523809523,0.05084745762711865,0.3333333333333333,
西藏自治區,,0.0,,,,,,,,
陝西,1.0,0.3723404255319149,,0.375,0.2,,,0.5714285714285714,0.5522388059701493,
甘肅,,0.14285714285714285,,,,,,0.36,0.23076923076923075,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
