,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.8333333333333334,
天津,,,,,,,,,,
河北,0.2363636363636364,,,0.11428571428571427,,0.1021505376344086,0.09433962264150943,,0.026200873362445413,1.0
山西,0.14583333333333331,0.06422018348623854,,,,0.06000000000000001,0.04347826086956522,0.047619047619047616,0.15207373271889404,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.043478260869565216,0.3888888888888889
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.09090909090909091
上海,,0.5130434782608695,0.045454545454545456,0.2,,,,0.8275862068965517,0.4160000000000001,
江蘇,0.05357142857142857,0.18918918918918917,,0.1179245283018868,0.03773584905660378,0.04819277108433735,0.575,0.38709677419354843,0.10227272727272728,
浙江,0.03333333333333333,0.23275862068965514,,0.04819277108433735,0.10989010989010989,0.29752066115702475,0.17241379310344826,0.13432835820895525,0.18888888888888888,
安徽,,,,0.07971014492753623,,0.26666666666666666,0.109375,0.39999999999999997,0.25,
福建,,,,0.01754385964912281,,,,,0.08695652173913045,
江西,,0.023809523809523808,,0.1081081081081081,,0.21487603305785125,0.043478260869565216,0.39999999999999997,0.1111111111111111,
山東,,0.020833333333333332,,0.09876543209876543,0.1875,0.28491620111731847,0.1881188118811881,0.14655172413793105,0.14285714285714285,0.4897959183673469
河南,0.34782608695652173,0.09124087591240877,,0.06140350877192983,0.16494845360824742,0.10526315789473685,,0.03571428571428571,0.11707317073170732,
湖北,0.07142857142857142,0.06,,,0.2,0.140625,,0.13333333333333333,0.1764705882352941,
湖南,0.05714285714285714,0.10344827586206896,,0.14285714285714285,,0.19767441860465115,0.17391304347826086,,0.034482758620689655,
廣東,0.10526315789473684,0.09999999999999999,,0.09374999999999999,,,,0.0625,0.09589041095890412,
廣西壯族自治區,,0.034482758620689655,1.0,0.13636363636363635,,0.08333333333333334,0.30000000000000004,0.10810810810810811,0.11363636363636365,
海南,,,,,,,,,,
重慶,,,,,,,,,0.14285714285714285,
四川,,,,,,,,0.04166666666666667,0.3571428571428571,
貴州,,,,,,,,,,
雲南,,,,,0.0784313725490196,0.02222222222222222,,0.05084745762711865,0.125,
西藏自治區,,0.0,,,,,,,,
陝西,0.75,0.23404255319148937,,,0.2,0.16666666666666666,,0.22857142857142856,0.05970149253731343,
甘肅,,,,,,,,0.19999999999999998,0.38461538461538464,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
