,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.625,,,,,,,,,
天津,,,,,,,,,1.0,
河北,0.1272727272727273,0.15447154471544716,,0.057142857142857134,,0.005376344086021505,0.4716981132075471,,0.08296943231441047,
山西,0.08333333333333333,0.027522935779816515,,,,,0.1739130434782609,0.009523809523809525,0.02304147465437788,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.46956521739130436,,0.044444444444444446,,,1.0,,0.24800000000000003,
江蘇,0.42857142857142855,0.14414414414414414,,0.07547169811320754,0.15094339622641512,0.0963855421686747,0.05,0.16129032258064516,0.14772727272727273,
浙江,0.1,0.3620689655172414,,0.10843373493975904,0.21978021978021978,0.19834710743801653,0.034482758620689655,0.23880597014925375,0.23333333333333334,
安徽,,0.03157894736842105,,0.036231884057971016,,0.05,0.125,0.24,0.16666666666666669,
福建,,0.08823529411764706,0.10526315789473684,0.22807017543859648,0.058823529411764705,,,,,1.0
江西,0.08695652173913043,0.023809523809523808,,0.013513513513513513,,0.1322314049586777,,0.36,0.1111111111111111,
山東,0.375,0.04861111111111111,,0.024691358024691357,0.0375,0.00558659217877095,0.21782178217821782,0.13793103448275862,0.10357142857142856,0.6530612244897959
河南,0.17391304347826086,0.12043795620437957,,,0.10309278350515465,0.07017543859649122,,0.03571428571428571,0.03902439024390244,
湖北,,0.08,,,,0.140625,0.047619047619047616,0.13333333333333333,0.2156862745098039,
湖南,0.02857142857142857,0.20689655172413793,,0.04081632653061224,0.3125,0.05813953488372093,0.17391304347826086,0.2413793103448276,0.10344827586206895,
廣東,0.05263157894736842,0.024999999999999998,,,0.08108108108108109,0.14285714285714285,0.19047619047619047,0.3125,,
廣西壯族自治區,,0.034482758620689655,,0.2272727272727273,,,,,0.011363636363636364,
海南,,0.09523809523809525,,,,,,,0.19047619047619047,
重慶,,,,,,0.07142857142857142,,,0.14285714285714285,
四川,,,,,,,,0.2916666666666667,0.40476190476190477,
貴州,,,,,,,,,0.05555555555555556,
雲南,,0.13636363636363635,,,0.0196078431372549,,,0.03389830508474577,,
西藏自治區,,0.0,,,,,,,,
陝西,,,,,0.2,,,0.11428571428571428,,
甘肅,,0.2857142857142857,,,,,,0.039999999999999994,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.28571428571428575,
