,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,0.3090909090909091,0.4552845528455285,0.09210526315789475,0.3142857142857143,0.6562499999999999,0.13440860215053763,0.3018867924528302,0.1927710843373494,0.2882096069868995,
山西,0.25,0.3119266055045872,0.03333333333333333,0.05714285714285714,,0.22000000000000003,0.4347826086956522,0.5809523809523809,0.8294930875576038,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.08695652173913043,0.3888888888888889
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.18181818181818182
上海,,0.6869565217391305,0.7272727272727273,0.8444444444444444,,0.9655172413793103,,,0.552,
江蘇,0.4107142857142857,0.5765765765765766,0.20833333333333334,0.41981132075471694,0.37735849056603776,0.43373493975903615,0.625,0.48387096774193555,0.19318181818181818,
浙江,0.4,0.43965517241379304,1.0,0.20481927710843376,0.37362637362637363,0.30578512396694213,0.13793103448275862,0.2835820895522388,0.28888888888888886,0.6363636363636362
安徽,,0.5684210526315789,0.3333333333333333,0.4492753623188406,0.5833333333333334,0.3166666666666667,0.4375,0.24,0.33333333333333337,
福建,0.10526315789473685,0.05882352941176471,0.2631578947368421,0.12280701754385966,,0.05555555555555555,,,0.08695652173913045,
江西,0.4347826086956522,0.14285714285714288,,0.22972972972972971,0.17142857142857146,0.47107438016528924,0.043478260869565216,0.33999999999999997,0.2222222222222222,
山東,0.625,0.19444444444444445,0.27999999999999997,0.35802469135802467,0.1125,0.2905027932960894,0.2673267326732673,0.05172413793103449,0.5249999999999999,0.22448979591836735
河南,0.4782608695652174,0.416058394160584,0.3962264150943396,0.44736842105263164,0.09278350515463918,0.07017543859649122,0.33333333333333337,0.03571428571428571,0.25365853658536586,
湖北,0.25,0.08,0.28888888888888886,0.14285714285714288,,0.234375,0.047619047619047616,0.13333333333333333,0.29411764705882354,
湖南,0.37142857142857144,,0.5555555555555556,0.3469387755102041,0.1875,0.23255813953488372,0.2608695652173913,0.1724137931034483,0.1724137931034483,1.0
廣東,0.21052631578947367,0.15000000000000002,0.6226415094339623,0.15625,0.1891891891891892,0.11428571428571428,0.07142857142857144,0.25,0.0684931506849315,
廣西壯族自治區,0.11111111111111113,0.13793103448275862,,0.18181818181818182,,0.2777777777777778,,0.05405405405405406,0.2159090909090909,
海南,0.6666666666666666,0.23809523809523814,,,,0.07142857142857142,1.0,0.1,0.19047619047619047,
重慶,,,,,,0.2857142857142857,,,,
四川,0.21052631578947367,,0.36363636363636365,,0.23076923076923075,0.19999999999999998,,0.33333333333333337,0.40476190476190477,
貴州,0.6666666666666666,0.1,,,,,0.16666666666666666,,0.11111111111111112,
雲南,,0.3636363636363636,,0.1818181818181818,0.19607843137254904,0.04444444444444444,0.047619047619047616,0.08474576271186442,0.08333333333333333,
西藏自治區,,0.0,,,,,0.5,,,
陝西,0.75,0.574468085106383,,0.5,,0.2222222222222222,,0.02857142857142857,0.5373134328358209,
甘肅,,,,0.5,,,,0.07999999999999999,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.3333333333333333,,0.5,0.42857142857142855,0.14285714285714288,
