,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,1.0,0.8333333333333333,,,,,,,1.0,
天津,,,,,0.125,,,0.875,,
河北,0.36363636363636365,0.2764227642276423,0.4736842105263158,0.028571428571428567,,0.016129032258064516,0.3018867924528302,0.4819277108433735,0.30567685589519644,
山西,0.3958333333333333,0.06422018348623854,0.06666666666666667,0.02857142857142857,,0.1,0.30434782608695654,0.32380952380952377,0.5391705069124424,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.5130434782608695,0.3181818181818182,0.22222222222222224,,0.37931034482758624,,,0.584,
江蘇,0.17857142857142858,0.27027027027027023,0.2916666666666667,0.22169811320754715,0.20754716981132076,0.26506024096385544,0.05,0.5483870967741936,0.36363636363636365,
浙江,0.4333333333333333,0.25,1.0,0.012048192771084338,0.5054945054945055,0.18181818181818182,0.41379310344827586,0.2537313432835821,0.2444444444444444,0.3636363636363636
安徽,1.0,,,0.014492753623188406,,0.016666666666666666,0.0625,,,
福建,0.10526315789473685,0.17647058823529413,,0.2631578947368421,,0.027777777777777776,,,,
江西,0.13043478260869568,,,0.05405405405405405,0.28571428571428575,0.21487603305785125,0.043478260869565216,0.33999999999999997,0.1111111111111111,
山東,0.75,0.06944444444444445,0.92,0.024691358024691357,0.0625,0.11173184357541899,0.42574257425742573,0.47413793103448276,0.2357142857142857,0.4489795918367347
河南,0.3043478260869565,0.24817518248175185,0.16981132075471697,0.04385964912280702,0.12371134020618556,0.15789473684210528,,0.03571428571428571,0.32195121951219513,
湖北,0.10714285714285715,0.04,0.08888888888888889,,,0.484375,,0.2,0.19607843137254902,
湖南,0.07142857142857142,0.20689655172413793,,0.04081632653061224,,0.06976744186046512,0.2608695652173913,0.10344827586206896,0.2068965517241379,
廣東,0.05263157894736842,0.049999999999999996,,0.09374999999999999,0.10810810810810811,0.22857142857142856,0.35714285714285715,0.3125,0.21917808219178084,
廣西壯族自治區,0.22222222222222227,0.10344827586206895,,0.2272727272727273,,,,0.02702702702702703,0.045454545454545456,
海南,,0.28571428571428575,,,,0.21428571428571427,,,0.28571428571428575,
重慶,,,,,,0.35714285714285715,,,,
四川,,,,,,,,0.33333333333333337,0.6190476190476191,
貴州,,,,,,,0.3333333333333333,,0.05555555555555556,
雲南,,0.04545454545454545,,,0.0196078431372549,0.04444444444444444,0.047619047619047616,0.15254237288135594,0.020833333333333332,
西藏自治區,,0.0,,,,,,,,
陝西,0.25,0.3191489361702128,,,0.2,0.2222222222222222,,0.2571428571428572,0.0746268656716418,
甘肅,,,,,,,,0.19999999999999998,0.07692307692307693,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.28571428571428575,
