,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.5,,,0.5714285714285714,0.5384615384615385,0.28571428571428575,0.25,0.19999999999999998,
天津,0.8,0.16666666666666666,,0.23809523809523808,0.14285714285714285,0.8333333333333333,1.0,0.8333333333333334,0.1081081081081081,
河北,0.6434540389972145,0.4400527009222661,0.6298342541436464,0.5,0.47290640394088673,0.5804597701149425,0.5783132530120482,0.4917582417582418,0.540650406504065,0.48275862068965514
山西,0.40236686390532544,0.5582329317269077,0.31707317073170727,0.37037037037037035,0.3046875,0.40625,0.3391304347826087,0.6108108108108108,0.7421731123388582,0.5
內蒙古自治區,,,,,,,,0.5,0.5,
遼寧,,,,0.30769230769230765,,0.7499999999999999,0.3333333333333333,,0.2558139534883721,0.42857142857142855
吉林,,,,,,,,,0.06666666666666667,0.5
黑龍江,,,,,0.75,,,,0.5714285714285714,
上海,0.5333333333333333,0.6283783783783785,0.921875,0.5490196078431373,0.4878048780487805,0.46368715083798884,0.5307692307692307,0.05555555555555555,0.5447470817120622,0.84
江蘇,0.41340782122905034,0.5212765957446808,0.5661764705882353,0.4413309982486865,0.42948717948717946,0.4797687861271676,0.4186046511627907,0.43712574850299407,0.31496062992125984,0.3734939759036145
浙江,0.4684210526315789,0.5793871866295265,0.6354166666666667,0.5083612040133779,0.5915032679738562,0.582392776523702,0.5294117647058825,0.26016260162601623,0.5132743362831859,0.8088235294117647
安徽,0.41958041958041953,0.3669527896995708,0.19512195121951217,0.4421052631578948,0.14666666666666667,0.2777777777777778,0.29411764705882354,0.36,0.39285714285714285,0.2142857142857143
福建,0.18823529411764706,0.2828282828282829,0.2166666666666667,0.14444444444444446,0.3013698630136986,0.27848101265822783,0.37142857142857144,0.10714285714285712,0.21153846153846154,0.34782608695652173
江西,0.3454545454545455,0.2864864864864865,0.28571428571428575,0.21785714285714286,0.44,0.39166666666666666,0.6015625,0.3333333333333333,0.28571428571428575,
山東,0.48520710059171596,0.5869262865090403,0.5604395604395606,0.4877622377622377,0.42249240121580545,0.5810397553516818,0.6313868613138687,0.47547169811320755,0.6605206073752712,0.768
河南,0.6261980830670927,0.6876675603217158,0.5267857142857143,0.5581395348837209,0.5879120879120879,0.5641025641025642,0.38461538461538464,0.5323741007194245,0.6122448979591837,0.8500000000000001
湖北,0.144,0.15492957746478875,0.21818181818181817,0.27741935483870966,0.28125,0.38571428571428573,0.38349514563106796,0.28378378378378377,0.16417910447761194,
湖南,0.2222222222222222,0.22105263157894736,0.125,0.23529411764705882,0.1949685534591195,0.30769230769230765,0.1949685534591195,0.17117117117117117,0.24705882352941175,0.3
廣東,0.2102272727272727,0.18035714285714285,0.2803738317757009,0.22026431718061673,0.1848341232227488,0.31020408163265306,0.3280423280423281,0.23863636363636362,0.1568627450980392,
廣西壯族自治區,,0.13793103448275862,,0.07751937984496125,0.17894736842105263,0.3125,0.3409090909090909,0.0980392156862745,0.29857819905213273,0.3125
海南,0.5333333333333333,0.4426229508196721,0.4285714285714286,0.5,0.058823529411764705,0.3181818181818182,0.16666666666666666,,0.24324324324324326,
重慶,,0.0625,,,0.17391304347826086,0.3055555555555556,0.18421052631578946,0.4736842105263158,0.3469387755102041,
四川,,0.4166666666666667,,0.0782608695652174,0.22413793103448276,0.15789473684210525,0.42372881355932207,0.25563909774436094,0.3310344827586207,0.14285714285714288
貴州,,,,0.19999999999999998,0.18518518518518517,0.1212121212121212,0.3333333333333333,0.06666666666666667,0.4051724137931034,
雲南,0.2857142857142857,0.33333333333333337,0.15,0.391304347826087,0.38095238095238093,0.5283018867924528,0.2564102564102564,0.5652173913043479,0.3006134969325153,
西藏自治區,,0.0,,,,,,,,
陝西,0.5241935483870968,0.5818965517241379,0.25,0.5714285714285715,0.40983606557377056,0.40229885057471265,0.5,0.6309523809523809,0.5587188612099644,
甘肅,0.4444444444444445,0.26530612244897955,0.3125,0.3943661971830986,0.6888888888888888,0.3055555555555556,,0.28205128205128205,0.308641975308642,0.2727272727272727
青海,,,0.0,,,,,0.3333333333333333,0.125,
寧夏回族自治區,,,,1.0,,,,,0.5,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.19999999999999998,0.1111111111111111,0.3888888888888889,,,0.4444444444444444,
