,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.1,0.17647058823529413,,0.29411764705882354,0.14285714285714285,0.19230769230769232,0.42857142857142855,0.25,0.23333333333333334,
天津,0.4,0.8333333333333334,1.0,0.33333333333333326,,0.8333333333333333,1.0,0.3333333333333333,0.13513513513513514,
河北,0.39275766016713093,0.4400527009222661,0.6353591160220994,0.4847161572052402,0.3054187192118227,0.4540229885057471,0.5140562248995985,0.43131868131868134,0.4329268292682927,0.27586206896551724
山西,0.04733727810650888,0.3232931726907631,0.2195121951219512,0.28518518518518515,0.1875,0.29687499999999994,0.13043478260869565,0.16216216216216217,0.570902394106814,
內蒙古自治區,,,,,,,,0.5,,
遼寧,,,,0.3846153846153846,0.5,,,,0.37209302325581395,0.7857142857142857
吉林,,,,,0.75,,,,,0.25
黑龍江,,,,,0.25,,,,0.8571428571428572,1.0
上海,0.18095238095238095,0.24549549549549549,0.734375,0.22222222222222224,0.5365853658536586,0.34636871508379885,0.2076923076923077,0.125,0.3696498054474708,0.04
江蘇,0.32402234636871513,0.5653495440729482,0.5588235294117647,0.6024518388791593,0.41666666666666663,0.6570327552986512,0.3372093023255814,0.43113772455089827,0.3753280839895013,0.6144578313253012
浙江,0.2368421052631579,0.3635097493036212,0.47916666666666663,0.4749163879598662,0.3333333333333333,0.4401805869074492,0.2882352941176471,0.16260162601626016,0.3495575221238938,0.4411764705882353
安徽,0.09790209790209789,0.37339055793991416,0.43902439024390244,0.4807017543859649,0.29333333333333333,0.1851851851851852,0.14705882352941177,0.039999999999999994,0.20238095238095238,0.07142857142857142
福建,0.09411764705882353,0.09427609427609428,0.3666666666666667,0.2518518518518518,0.0136986301369863,0.20253164556962025,0.02857142857142857,0.03571428571428571,0.15384615384615385,0.34782608695652173
江西,0.2727272727272727,0.36486486486486486,0.10714285714285714,0.3107142857142857,0.365,0.5375,0.28125,0.23873873873873871,0.02857142857142857,
山東,0.16568047337278108,0.5215577190542421,0.521978021978022,0.36538461538461536,0.20972644376899696,0.2996941896024465,0.4233576642335766,0.06415094339622641,0.2592190889370933,0.04
河南,0.16932907348242812,0.4276139410187668,0.375,0.4460887949260043,0.4175824175824176,0.32051282051282054,0.15384615384615385,0.20863309352517986,0.2040816326530612,0.15
湖北,0.208,0.2887323943661972,0.23636363636363636,0.23225806451612904,0.078125,0.2857142857142857,0.1262135922330097,0.06756756756756757,0.16417910447761194,
湖南,0.04938271604938271,0.2105263157894737,0.08333333333333333,0.25630252100840334,0.13836477987421383,0.19004524886877827,0.22012578616352202,0.0990990990990991,0.11764705882352941,0.1
廣東,0.0625,0.08750000000000001,0.24299065420560745,0.23788546255506607,0.08056872037914692,0.22448979591836735,0.20634920634920637,0.005681818181818182,0.08169934640522876,0.18181818181818182
廣西壯族自治區,0.09677419354838711,0.043103448275862065,,0.08527131782945736,,0.11249999999999999,0.2727272727272727,,0.13270142180094788,
海南,,0.03278688524590164,,0.08333333333333333,,,0.16666666666666666,,,
重慶,,,0.6666666666666667,0.11764705882352942,0.2826086956521739,0.18055555555555555,0.07894736842105263,0.013157894736842106,0.20408163265306123,
四川,,,0.6,0.26086956521739135,0.2586206896551724,0.11842105263157894,0.08474576271186442,0.18045112781954886,0.32413793103448274,0.07142857142857144
貴州,,,,0.06666666666666667,,0.1212121212121212,,,0.11206896551724138,
雲南,0.14285714285714285,0.08333333333333334,0.049999999999999996,0.06521739130434782,0.12698412698412698,,0.05128205128205127,0.08695652173913045,0.08588957055214724,
西藏自治區,,0.0,,,,,,,0.3333333333333333,
陝西,0.12903225806451613,0.2672413793103448,,0.6240601503759399,0.36065573770491804,0.37931034482758624,0.18181818181818182,0.13095238095238096,0.44128113879003555,
甘肅,0.07407407407407408,,,0.22535211267605634,,0.25,,0.05128205128205128,0.11111111111111112,
青海,,,0.0,,,,,,0.625,
寧夏回族自治區,,,,,,,,,0.09999999999999999,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.15151515151515152,,0.26666666666666666,0.3333333333333333,0.16666666666666666,,,0.044444444444444446,
