,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.2,0.411764705882353,,0.35294117647058826,0.07142857142857142,0.38461538461538464,0.14285714285714288,0.625,0.26666666666666666,
天津,,0.05555555555555556,,0.2857142857142857,,0.16666666666666669,1.0,0.16666666666666666,0.05405405405405405,
河北,0.2813370473537604,0.530961791831357,0.4033149171270718,0.4497816593886462,0.270935960591133,0.446360153256705,0.3493975903614458,0.48626373626373626,0.38414634146341464,
山西,0.21301775147928995,0.534136546184739,0.2926829268292683,0.37037037037037035,0.53125,0.46354166666666663,0.3391304347826087,0.3675675675675676,0.6721915285451197,
內蒙古自治區,,,,,,,,,0.5,
遼寧,,,1.0,0.23076923076923078,,0.25,,0.16666666666666666,0.06976744186046512,
吉林,,,,,,,,,,
黑龍江,,,,,0.5,,,,,
上海,0.47619047619047616,0.49099099099099097,0.5625,0.18300653594771243,0.4146341463414634,0.17318435754189943,0.30769230769230765,0.18055555555555555,0.1245136186770428,
江蘇,0.35195530726256985,0.40425531914893614,0.3161764705882353,0.42031523642732044,0.3141025641025641,0.1329479768786127,0.5290697674418605,0.47904191616766467,0.3385826771653543,0.20481927710843373
浙江,0.5631578947368421,0.5153203342618384,0.3958333333333333,0.5284280936454849,0.45098039215686275,0.49661399548532736,0.32941176470588235,0.4552845528455285,0.3429203539823009,0.22058823529411764
安徽,0.5804195804195804,0.5,0.40243902439024387,0.3894736842105263,0.38666666666666666,0.26851851851851855,0.46078431372549017,0.32999999999999996,0.2261904761904762,0.07142857142857142
福建,0.22352941176470587,0.4410774410774411,0.25,0.26666666666666666,0.2328767123287671,0.3164556962025316,0.11428571428571428,0.14285714285714285,0.28846153846153844,0.2608695652173913
江西,0.48484848484848486,0.5594594594594595,0.17857142857142858,0.26785714285714285,0.47,0.44999999999999996,0.1484375,0.18018018018018017,0.17142857142857143,
山東,0.2366863905325444,0.4339360222531294,0.38461538461538464,0.3723776223776224,0.3404255319148936,0.37461773700305806,0.40510948905109484,0.36226415094339626,0.43383947939262474,0.296
河南,0.36421725239616615,0.5388739946380697,0.4107142857142857,0.3213530655391121,0.6208791208791209,0.39743589743589747,0.3461538461538462,0.11510791366906474,0.3784786641929499,0.25
湖北,0.416,0.528169014084507,0.2545454545454545,0.4645161290322581,0.43749999999999994,0.2619047619047619,0.3106796116504854,0.23648648648648646,0.3880597014925373,
湖南,0.4938271604938272,0.45789473684210524,0.2916666666666667,0.43277310924369744,0.44025157232704404,0.334841628959276,0.1069182389937107,0.1981981981981982,0.30588235294117644,0.3
廣東,0.18749999999999997,0.33749999999999997,0.037383177570093455,0.33700440528634357,0.23222748815165875,0.22040816326530613,0.3333333333333333,0.23295454545454547,0.22549019607843138,0.09090909090909091
廣西壯族自治區,0.5161290322580646,0.23275862068965517,,0.32558139534883723,0.30526315789473685,0.2125,0.3636363636363636,0.0784313725490196,0.33175355450236965,
海南,0.3333333333333333,0.22950819672131148,0.14285714285714285,0.16666666666666666,0.3529411764705882,0.36363636363636365,0.16666666666666666,,0.24324324324324326,
重慶,,0.40625,0.5,0.05882352941176471,0.5,0.2777777777777778,0.3157894736842105,0.26315789473684215,0.3673469387755102,0.5
四川,0.2,0.16666666666666666,0.19999999999999998,0.10434782608695653,0.24137931034482757,0.23684210526315788,0.2542372881355932,0.3909774436090226,0.3862068965517242,0.07142857142857144
貴州,0.19999999999999998,0.05263157894736842,0.6666666666666666,0.16666666666666666,0.2962962962962963,0.0303030303030303,,,0.3706896551724138,
雲南,,0.08333333333333334,0.049999999999999996,0.06521739130434782,0.14285714285714285,0.169811320754717,0.28205128205128205,0.02173913043478261,0.2147239263803681,0.39999999999999997
西藏自治區,,0.0,,,,,,,,
陝西,0.2903225806451613,0.38362068965517243,0.375,0.3984962406015038,0.40983606557377056,0.5229885057471264,0.22727272727272727,0.17857142857142855,0.4768683274021352,
甘肅,0.03703703703703704,0.40816326530612246,0.125,0.30985915492957744,0.4888888888888889,0.1388888888888889,0.14285714285714285,0.2307692307692308,0.17283950617283952,0.09090909090909091
青海,,,0.0,,,,,,0.375,
寧夏回族自治區,,,,,,,1.0,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.19999999999999998,0.1111111111111111,,,,0.15555555555555556,
