,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.17647058823529413,,,0.21428571428571427,0.4230769230769231,,0.625,0.06666666666666667,
天津,0.8,0.22222222222222224,,0.2857142857142857,0.14285714285714285,0.33333333333333337,,,,
河北,0.35376044568245124,0.30434782608695654,0.292817679558011,0.2794759825327511,0.2413793103448276,0.2509578544061303,0.2208835341365462,0.27197802197802196,0.3516260162601626,0.06896551724137931
山西,0.26035502958579887,0.3815261044176707,0.17073170731707316,0.3222222222222222,0.296875,0.43229166666666663,0.2608695652173913,0.21621621621621623,0.5303867403314917,
內蒙古自治區,,,,,,,,,0.5,
遼寧,,,,,,0.25,0.3333333333333333,0.16666666666666666,0.2558139534883721,0.14285714285714285
吉林,,,,,,,,,0.06666666666666667,0.25
黑龍江,,,,,,,,,,
上海,0.2095238095238095,0.3648648648648649,0.734375,0.2679738562091503,0.34146341463414637,0.4748603351955307,0.2076923076923077,0.29166666666666663,0.1867704280155642,
江蘇,0.31843575418994413,0.4574468085106383,0.4117647058823529,0.3922942206654991,0.3333333333333333,0.43159922928709055,0.24418604651162792,0.19161676646706588,0.09711286089238844,0.3975903614457832
浙江,0.5631578947368421,0.36211699164345407,0.34375,0.25418060200668896,0.3464052287581699,0.5056433408577878,0.4470588235294118,0.12195121951219512,0.23893805309734512,0.07352941176470587
安徽,0.3356643356643356,0.34763948497854075,0.18292682926829268,0.38245614035087716,0.21333333333333335,0.25,0.32352941176470584,0.06,0.07142857142857142,
福建,0.2352941176470588,0.15151515151515152,0.2833333333333333,0.15555555555555556,0.0273972602739726,0.20253164556962025,0.5142857142857143,0.3214285714285714,0.15384615384615385,0.17391304347826086
江西,0.4303030303030303,0.2918918918918919,0.07142857142857144,0.3142857142857142,0.205,0.30833333333333335,0.1796875,0.16216216216216214,0.14285714285714288,
山東,0.23076923076923078,0.43671766342141866,0.4340659340659341,0.38811188811188807,0.331306990881459,0.2568807339449541,0.2992700729927007,0.12830188679245283,0.3503253796095445,0.031999999999999994
河南,0.12140575079872204,0.450402144772118,0.2142857142857143,0.3150105708245243,0.5989010989010989,0.2820512820512821,0.3269230769230769,0.17266187050359713,0.35064935064935066,0.25
湖北,0.424,0.21126760563380284,0.14545454545454545,0.33548387096774196,0.15625,0.30000000000000004,0.1699029126213592,0.1554054054054054,0.11940298507462686,0.2857142857142857
湖南,0.5061728395061729,0.20526315789473687,0.20833333333333334,0.14705882352941174,0.1509433962264151,0.24434389140271492,0.05031446540880503,0.23423423423423423,0.1764705882352941,0.1
廣東,0.2159090909090909,0.14107142857142857,0.21495327102803738,0.22907488986784139,0.16587677725118483,0.19183673469387752,0.17460317460317462,0.09090909090909091,0.12745098039215688,0.09090909090909091
廣西壯族自治區,0.45161290322580644,0.27586206896551724,,0.23255813953488375,0.15789473684210525,0.1375,0.25,0.17647058823529413,0.24644549763033174,
海南,0.7333333333333333,0.21311475409836064,,,0.11764705882352941,,0.16666666666666666,,0.08108108108108109,
重慶,,0.25,0.5,,0.19565217391304346,0.2222222222222222,0.4473684210526316,0.3157894736842105,0.20408163265306123,
四川,,0.16666666666666666,,0.008695652173913044,0.27586206896551724,0.19736842105263158,0.22033898305084745,0.3157894736842105,0.3172413793103448,
貴州,0.19999999999999998,0.05263157894736842,,0.03333333333333333,0.14814814814814814,0.1515151515151515,0.16666666666666666,0.13333333333333333,0.26724137931034486,
雲南,0.14285714285714285,0.14285714285714285,,0.043478260869565216,0.39682539682539686,0.05660377358490566,0.23076923076923075,0.28260869565217395,0.09815950920245399,
西藏自治區,,0.0,,,,,,,,
陝西,0.12903225806451613,0.3879310344827586,,0.406015037593985,0.21311475409836067,0.36781609195402304,,0.25,0.5658362989323843,
甘肅,0.1851851851851852,0.061224489795918366,0.125,0.056338028169014086,0.13333333333333333,0.08333333333333334,,0.28205128205128205,0.34567901234567905,0.7272727272727273
青海,,,0.0,,,,,0.3333333333333333,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.24242424242424243,,0.13333333333333333,,,,,0.3333333333333333,
