,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2647058823529412,,0.4705882352941177,0.3571428571428571,0.19230769230769232,0.42857142857142855,0.25,0.4666666666666667,
天津,1.0,0.611111111111111,,0.23809523809523808,,0.8333333333333333,,0.7222222222222222,0.5135135135135135,
河北,0.6601671309192201,0.4466403162055336,0.48066298342541436,0.3951965065502183,0.39901477832512317,0.5057471264367815,0.5020080321285141,0.44230769230769235,0.40040650406504064,0.5172413793103448
山西,0.33136094674556216,0.1285140562248996,0.06097560975609755,0.3074074074074074,0.109375,0.11979166666666666,0.16521739130434782,0.1945945945945946,0.11602209944751381,
內蒙古自治區,,,,,,,,,0.3333333333333333,
遼寧,,,,0.30769230769230765,0.25,,,,0.46511627906976744,0.7857142857142857
吉林,,,,,,,,,0.19999999999999998,0.75
黑龍江,,,,,,,,,0.8571428571428572,1.0
上海,0.39999999999999997,0.4076576576576577,0.84375,0.4183006535947713,0.4878048780487805,0.5810055865921787,0.1,0.16666666666666666,0.23735408560311283,0.08
江蘇,0.6424581005586592,0.6428571428571428,0.7426470588235294,0.47460595446584936,0.40384615384615385,0.8400770712909441,0.308139534883721,0.47305389221556887,0.5039370078740157,0.8313253012048194
浙江,0.5052631578947369,0.5376044568245125,0.59375,0.5050167224080266,0.41830065359477125,0.6320541760722348,0.5235294117647059,0.22764227642276424,0.5597345132743363,0.7794117647058824
安徽,0.4335664335664335,0.4313304721030043,0.7439024390243901,0.5368421052631579,0.33333333333333337,0.6944444444444444,0.2156862745098039,0.45,0.380952380952381,0.5
福建,0.32941176470588235,0.3602693602693603,0.6000000000000001,0.4703703703703703,0.32876712328767127,0.3164556962025316,0.34285714285714286,0.35714285714285715,0.4935897435897436,0.47826086956521735
江西,0.32121212121212117,0.3324324324324325,0.28571428571428575,0.39999999999999997,0.28,0.5958333333333333,0.46875,0.4369369369369369,0.22857142857142856,
山東,0.5207100591715976,0.3449235048678721,0.6428571428571429,0.38636363636363635,0.3404255319148936,0.4220183486238532,0.4708029197080292,0.3849056603773585,0.3611713665943601,0.33599999999999997
河南,0.40894568690095845,0.34316353887399464,0.4821428571428571,0.44186046511627913,0.11538461538461539,0.4743589743589744,0.3461538461538462,0.38848920863309355,0.33766233766233766,0.5
湖北,0.384,0.3098591549295775,0.509090909090909,0.2967741935483871,0.125,0.5666666666666667,0.33009708737864074,0.4054054054054054,0.5074626865671642,
湖南,0.3333333333333333,0.22105263157894736,0.4166666666666667,0.33613445378151263,0.3207547169811321,0.43438914027149317,0.37735849056603776,0.46396396396396394,0.15294117647058822,0.6
廣東,0.3409090909090909,0.3928571428571429,0.5327102803738317,0.46916299559471364,0.4691943127962085,0.46530612244897956,0.46560846560846564,0.39204545454545453,0.4901960784313726,0.36363636363636365
廣西壯族自治區,0.09677419354838711,0.25862068965517243,,0.17054263565891473,0.25263157894736843,0.22499999999999998,0.25,0.058823529411764705,0.41706161137440756,0.375
海南,0.6666666666666666,0.3114754098360656,0.4285714285714286,0.3333333333333333,0.058823529411764705,0.045454545454545456,0.05555555555555555,0.5,0.16216216216216217,
重慶,,0.03125,0.8333333333333334,0.23529411764705885,0.23913043478260868,0.2916666666666667,0.18421052631578946,0.5394736842105263,0.24489795918367346,
四川,,0.4166666666666667,0.6,0.5304347826086957,0.2068965517241379,0.39473684210526316,0.3220338983050848,0.368421052631579,0.3,0.21428571428571427
貴州,0.6,0.368421052631579,,0.13333333333333333,0.037037037037037035,0.3333333333333333,0.25,0.16666666666666666,0.2327586206896552,0.3333333333333333
雲南,0.2857142857142857,0.30952380952380953,0.3,0.391304347826087,0.19047619047619047,0.3962264150943396,0.15384615384615385,0.32608695652173914,0.27607361963190186,0.19999999999999998
西藏自治區,,0.0,,,,1.0,,,1.0,
陝西,0.28225806451612906,0.2025862068965517,0.0625,0.1879699248120301,0.26229508196721313,0.25862068965517243,0.5,0.41666666666666663,0.19217081850533807,
甘肅,0.11111111111111112,0.08163265306122448,0.125,0.2112676056338028,0.13333333333333333,0.3888888888888889,0.14285714285714285,0.15384615384615385,0.08641975308641976,0.9090909090909091
青海,,1.0,0.0,,,0.6666666666666666,,,0.625,
寧夏回族自治區,,1.0,,,,,,,0.09999999999999999,
新疆維吾爾自治區,,,,,,0.0,,,1.0,
臺灣,0.0,0.3636363636363636,,0.19999999999999998,0.2222222222222222,0.6666666666666666,0.2,,0.28888888888888886,
