,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,0.03056768558951965,,,,,,
山西,0.01183431952662722,0.01606425702811245,0.1219512195121951,,,,,,0.027624309392265196,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.06315789473684211,0.020891364902506964,,,,0.013544018058690746,,0.03252032520325203,0.03982300884955753,0.25
安徽,,0.004291845493562232,,,0.05333333333333334,,,,,
福建,,,,0.02962962962962963,,,,,,
江西,,,,0.021428571428571425,,0.041666666666666664,,,,
山東,,0.006954102920723228,,,0.02127659574468085,0.01834862385321101,,0.01509433962264151,,
河南,,0.06032171581769437,,,0.44505494505494503,,,0.014388489208633093,,
湖北,0.016,,,0.01935483870967742,,,,,,
湖南,,,,0.03361344537815126,0.018867924528301886,0.03619909502262443,,0.027027027027027025,,0.3
廣東,,,,,,,0.005291005291005291,0.011363636363636364,0.05555555555555556,
廣西壯族自治區,,,,,,,,,0.03791469194312796,
海南,,,,,,,0.2222222222222222,,,
重慶,,,,,,0.041666666666666664,,0.07894736842105263,0.061224489795918366,
四川,,,,,,,0.11864406779661017,0.03007518796992481,,
貴州,,,,,0.037037037037037035,,,,0.07758620689655173,
雲南,,,0.049999999999999996,,,,,,0.03067484662576687,
西藏自治區,,0.0,,,,,,,,
陝西,0.008064516129032258,0.034482758620689655,,0.052631578947368425,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.24444444444444444,
