,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,0.05882352941176471,0.07142857142857142,,0.5714285714285715,,0.03333333333333333,
天津,,0.05555555555555556,,0.047619047619047616,,,0.7,,0.12162162162162161,
河北,0.2423398328690808,0.14097496706192358,0.03867403314917127,0.1724890829694323,0.11330049261083744,0.1590038314176245,0.45783132530120485,0.17857142857142858,0.1565040650406504,
山西,0.21301775147928995,0.10240963855421686,0.048780487804878044,0.029629629629629627,0.015625,0.11979166666666666,0.21739130434782608,0.17297297297297298,0.16022099447513813,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,0.5,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.09459459459459459,0.7968750000000001,0.0196078431372549,,0.03910614525139665,0.4307692307692308,,0.1556420233463035,
江蘇,0.11731843575418996,0.20820668693009117,0.2867647058823529,0.2574430823117338,0.1282051282051282,0.030828516377649322,0.5,0.14371257485029942,0.26246719160104987,0.024096385542168676
浙江,0.042105263157894736,0.10027855153203342,0.10416666666666667,0.11705685618729096,,0.03160270880361174,0.2529411764705883,,0.06194690265486726,
安徽,0.013986013986013986,0.22961373390557938,0.06097560975609755,0.12982456140350876,0.09333333333333334,0.1388888888888889,0.4215686274509804,0.11,0.04761904761904762,
福建,,0.05050505050505051,,,0.04109589041095891,0.06329113924050632,,,0.006410256410256411,0.34782608695652173
江西,0.030303030303030304,0.043243243243243246,,0.007142857142857142,,0.18333333333333335,0.0859375,,,
山東,0.1183431952662722,0.23087621696801114,0.2087912087912088,0.16258741258741258,0.07902735562310031,0.2568807339449541,0.5510948905109488,0.2188679245283019,0.1941431670281996,0.072
河南,0.1437699680511182,0.27211796246648795,0.2857142857142857,0.13742071881606766,0.12637362637362637,0.1730769230769231,0.4230769230769231,0.17985611510791366,0.11873840445269015,0.05
湖北,,0.056338028169014086,,0.09032258064516129,,0.21428571428571427,0.3398058252427184,0.10135135135135134,0.04477611940298507,
湖南,,,,0.008403361344537815,,0.049773755656108594,0.23899371069182387,0.04954954954954955,0.07058823529411763,
廣東,0.05113636363636363,0.014285714285714285,0.12149532710280372,0.017621145374449337,0.042654028436018954,0.15918367346938775,0.05291005291005291,0.05113636363636363,0.0392156862745098,
廣西壯族自治區,,0.0603448275862069,,0.015503875968992248,0.11578947368421053,0.2375,0.43181818181818177,0.0392156862745098,0.047393364928909956,
海南,,,,,,,,,0.08108108108108109,
重慶,,,,,,,,0.2236842105263158,,
四川,,,,,,,0.01694915254237288,0.09774436090225565,0.034482758620689655,
貴州,,,,,,,,,0.05172413793103449,
雲南,,,,,,,,,0.024539877300613498,
西藏自治區,,0.0,,,,,,,,
陝西,0.14516129032258066,0.04310344827586207,,,,0.04597701149425288,0.36363636363636365,0.2619047619047619,0.11032028469750889,
甘肅,,,,,,0.1388888888888889,,0.07692307692307693,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
