,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,0.17647058823529413,,,,0.038461538461538464,,,0.06666666666666667,
天津,,,,,,,,,0.040540540540540536,
河北,0.033426183844011144,0.1106719367588933,0.22651933701657456,0.024017467248908297,0.034482758620689655,0.11302681992337164,0.11244979919678715,0.0521978021978022,0.17682926829268295,
山西,0.06508875739644972,0.09036144578313254,0.024390243902439022,0.029629629629629627,,0.041666666666666664,0.09565217391304347,0.2972972972972973,0.30202578268876606,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,0.07142857142857142
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,1.0
上海,,0.22522522522522523,0.125,0.16339869281045752,,0.14525139664804468,0.06923076923076923,0.4027777777777778,0.3735408560311284,
江蘇,0.13407821229050282,0.10182370820668692,0.058823529411764705,0.1838879159369527,0.1282051282051282,0.06551059730250482,0.13372093023255816,0.053892215568862284,0.10236220472440945,
浙江,0.031578947368421054,0.09052924791086352,,0.05016722408026756,0.18300653594771243,0.09029345372460498,0.07647058823529412,0.25203252032520324,0.09292035398230089,0.14705882352941174
安徽,0.013986013986013986,0.07081545064377683,0.012195121951219511,0.11228070175438597,,0.17592592592592593,0.2745098039215686,0.039999999999999994,0.03571428571428571,
福建,0.1176470588235294,0.03703703703703704,0.03333333333333333,0.07037037037037037,,0.10126582278481013,,0.03571428571428571,0.038461538461538464,0.043478260869565216
江西,0.14545454545454548,0.013513513513513514,,0.08214285714285713,0.085,0.17083333333333334,0.078125,0.09009009009009009,0.02857142857142857,
山東,,0.05424200278164117,0.04395604395604396,0.07692307692307691,0.0851063829787234,0.10397553516819572,0.18613138686131386,0.1471698113207547,0.210412147505423,0.312
河南,0.05750798722044728,0.16621983914209115,0.1875,0.04651162790697675,0.23626373626373626,0.04487179487179488,0.09615384615384616,0.03597122302158273,0.21335807050092764,
湖北,0.055999999999999994,0.035211267605633804,0.2727272727272727,,0.015625,0.1523809523809524,0.009708737864077669,0.0472972972972973,0.1791044776119403,
湖南,0.16049382716049385,0.06315789473684211,0.08333333333333333,0.01680672268907563,0.025157232704402517,0.12669683257918551,0.08176100628930817,0.036036036036036036,0.011764705882352941,
廣東,0.011363636363636362,0.005357142857142858,0.12149532710280372,0.004405286343612334,0.03317535545023696,0.053061224489795916,0.13227513227513227,0.022727272727272728,0.07516339869281047,
廣西壯族自治區,0.12903225806451615,0.034482758620689655,0.09375,0.06201550387596899,0.021052631578947368,0.07500000000000001,,0.2156862745098039,0.14691943127962084,
海南,,0.14754098360655737,,,,0.2727272727272727,0.16666666666666666,0.5,0.18918918918918917,
重慶,,,,,,0.027777777777777776,0.02631578947368421,,,
四川,,,0.6,,0.034482758620689655,0.05263157894736842,,0.09774436090225565,0.041379310344827586,
貴州,,0.05263157894736842,,,,0.1515151515151515,0.08333333333333333,0.03333333333333333,0.008620689655172414,
雲南,,0.11904761904761905,,,0.12698412698412698,0.03773584905660377,0.05128205128205127,0.06521739130434782,0.09815950920245399,
西藏自治區,,0.0,,,,,,,,
陝西,0.03225806451612903,0.15086206896551724,,0.02255639097744361,0.01639344262295082,,,0.23809523809523808,0.13167259786476868,
甘肅,,0.02040816326530612,,,,,,0.2307692307692308,0.037037037037037035,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
