,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.029411764705882356,,,,0.038461538461538464,,,0.3666666666666667,
天津,0.8,0.05555555555555556,,,,,,,0.05405405405405405,
河北,0.37604456824512533,0.07641633728590251,0.03314917127071823,0.06986899563318777,0.19211822660098524,0.2164750957854406,0.26907630522088355,0.1730769230769231,0.13821138211382114,0.3448275862068965
山西,0.13609467455621302,0.2028112449799197,0.1219512195121951,0.08148148148148147,0.1484375,0.11458333333333333,0.12173913043478261,0.15135135135135136,0.3314917127071823,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.16279069767441862,0.14285714285714285
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.0857142857142857,0.32882882882882886,0.65625,0.24183006535947713,,0.2569832402234637,0.5692307692307692,0.38888888888888884,0.5058365758754864,
江蘇,0.16201117318435757,0.2583586626139817,0.07352941176470588,0.1243432574430823,0.16025641025641024,0.2023121387283237,0.3023255813953489,0.15568862275449102,0.35958005249343833,0.10843373493975904
浙江,0.18421052631578946,0.2646239554317549,0.020833333333333332,0.06020066889632107,0.1503267973856209,0.22799097065462756,0.4058823529411765,0.2032520325203252,0.20796460176991152,
安徽,0.1888111888111888,0.18454935622317595,0.09756097560975609,0.10877192982456141,0.12000000000000001,0.12962962962962962,0.16666666666666666,0.15,0.23809523809523808,
福建,0.19999999999999998,0.08754208754208755,0.18333333333333335,0.07407407407407407,0.0958904109589041,0.12658227848101264,0.02857142857142857,0.3214285714285714,0.20512820512820515,
江西,0.0787878787878788,0.15135135135135136,0.25,0.125,0.18,0.13749999999999998,0.2265625,0.2927927927927928,0.22857142857142856,
山東,0.1183431952662722,0.19193324061196107,0.18131868131868134,0.07692307692307691,0.303951367781155,0.24770642201834858,0.3102189781021898,0.3849056603773585,0.19197396963123645,0.5599999999999999
河南,0.12779552715654952,0.17158176943699732,0.044642857142857144,0.08879492600422834,0.0934065934065934,0.1153846153846154,0.25,0.2158273381294964,0.12244897959183673,0.1
湖北,0.2,0.14084507042253522,0.03636363636363636,0.09032258064516129,0.171875,0.18571428571428572,0.1116504854368932,0.25,0.23880597014925373,0.14285714285714285
湖南,0.1851851851851852,0.15789473684210525,,0.1596638655462185,0.06918238993710692,0.167420814479638,0.10062893081761005,0.32432432432432434,0.10588235294117647,0.4
廣東,0.03409090909090909,0.11428571428571428,0.02803738317757009,0.1013215859030837,0.03317535545023696,0.3183673469387755,0.037037037037037035,0.32954545454545453,0.25490196078431376,
廣西壯族自治區,,0.12931034482758622,0.34375,0.2170542635658915,0.15789473684210525,0.11249999999999999,,0.37254901960784315,0.13270142180094788,0.0625
海南,,0.04918032786885246,,,0.058823529411764705,,,,,
重慶,,,,,0.021739130434782608,,0.07894736842105263,0.2105263157894737,0.1836734693877551,
四川,,,,0.2,0.06896551724137931,0.039473684210526314,0.06779661016949153,0.15037593984962405,0.20689655172413793,
貴州,,,,0.03333333333333333,0.1111111111111111,0.1212121212121212,0.16666666666666666,0.03333333333333333,0.034482758620689655,
雲南,,0.1904761904761905,0.049999999999999996,0.15217391304347827,0.2857142857142857,0.03773584905660377,0.17948717948717946,0.10869565217391304,0.15337423312883436,
西藏自治區,,0.0,,,,,,,,
陝西,0.2903225806451613,0.1163793103448276,,0.007518796992481204,0.13114754098360656,0.1206896551724138,,0.2619047619047619,0.09608540925266904,
甘肅,0.4444444444444445,0.04081632653061224,,0.1267605633802817,0.28888888888888886,0.08333333333333334,0.2857142857142857,0.15384615384615385,0.08641975308641976,
青海,,,0.0,,,,,,0.375,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,1.0,,0.0,,,0.2857142857142857,
臺灣,0.0,0.3939393939393939,,0.09999999999999999,0.4444444444444444,,,,0.26666666666666666,
