,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,,,,,,0.28571428571428575,,0.3,
天津,,0.11111111111111112,,0.09523809523809523,0.2857142857142857,,1.0,,0.5,
河北,0.1532033426183844,0.11330698287220027,,0.03056768558951965,0.04433497536945813,0.09003831417624521,0.2208835341365462,0.1565934065934066,0.11991869918699187,
山西,0.18934911242603553,0.01807228915662651,0.1219512195121951,0.07407407407407407,,0.04687499999999999,0.32173913043478264,0.04864864864864865,0.040515653775322284,
內蒙古自治區,,,,,1.0,,1.0,,0.16666666666666666,
遼寧,,,,,1.0,,0.3333333333333333,0.16666666666666666,,
吉林,,,,,,,,,0.39999999999999997,
黑龍江,,,,,,,,,,
上海,0.5238095238095237,0.35360360360360366,0.0625,0.14379084967320263,0.21951219512195122,0.2122905027932961,0.22307692307692306,0.20833333333333331,0.41245136186770426,0.08
江蘇,0.28491620111731847,0.23860182370820668,0.4338235294117647,0.12259194395796846,0.22435897435897434,0.24084778420038533,0.25,0.29341317365269465,0.24671916010498687,0.5783132530120483
浙江,0.25789473684210523,0.37186629526462395,0.03125,0.1605351170568562,0.29411764705882354,0.22799097065462756,0.06470588235294118,0.17886178861788618,0.20575221238938055,0.10294117647058823
安徽,0.2867132867132867,0.18454935622317595,0.3170731707317073,0.15087719298245614,0.12000000000000001,0.12962962962962962,0.1372549019607843,0.25,0.30952380952380953,0.5714285714285714
福建,0.12941176470588234,0.18855218855218855,0.11666666666666667,0.18888888888888888,0.1917808219178082,0.0759493670886076,0.11428571428571428,0.2857142857142857,0.11538461538461538,0.30434782608695654
江西,0.13333333333333333,0.13783783783783785,0.03571428571428572,0.07857142857142856,0.17,0.1625,0.34375,0.4369369369369369,0.2,0.6
山東,0.1775147928994083,0.09457579972183588,,0.09265734265734264,0.06990881458966565,0.2492354740061162,0.32116788321167883,0.30943396226415093,0.13774403470715837,0.392
河南,0.18210862619808307,0.15013404825737267,0.053571428571428575,0.04651162790697675,0.005494505494505495,0.07692307692307694,0.19230769230769232,0.2589928057553957,0.10760667903525047,0.15
湖北,0.07999999999999999,0.10563380281690142,0.07272727272727272,0.05806451612903226,0.046875,0.21904761904761905,0.24271844660194175,0.29054054054054057,0.23880597014925373,0.42857142857142855
湖南,0.14814814814814814,0.11578947368421053,,0.02100840336134454,0.06289308176100629,0.09502262443438914,0.11949685534591194,0.3963963963963964,0.023529411764705882,0.4
廣東,0.35795454545454547,0.18214285714285716,0.14018691588785046,0.08590308370044052,0.11374407582938388,0.1959183673469388,0.15343915343915343,0.25,0.26143790849673204,0.4545454545454546
廣西壯族自治區,0.16129032258064516,0.16379310344827586,0.125,0.09302325581395349,0.11578947368421053,0.0875,0.0909090909090909,0.0784313725490196,0.052132701421800945,0.0625
海南,0.26666666666666666,0.0819672131147541,,,,0.3181818181818182,0.27777777777777773,,0.35135135135135137,
重慶,,0.09375,,0.29411764705882354,0.06521739130434782,0.16666666666666666,0.2631578947368421,0.14473684210526316,0.3673469387755102,
四川,0.2,0.25,0.39999999999999997,0.13043478260869568,0.08620689655172413,0.10526315789473684,0.42372881355932207,0.17293233082706766,0.0896551724137931,0.28571428571428575
貴州,,0.2631578947368421,,0.09999999999999999,0.18518518518518517,0.2121212121212121,0.16666666666666666,0.3,0.25,0.3333333333333333
雲南,0.3571428571428571,0.14285714285714285,0.049999999999999996,0.17391304347826086,0.12698412698412698,0.018867924528301886,0.025641025641025637,0.15217391304347827,0.18404907975460122,0.19999999999999998
西藏自治區,,0.0,,,,,,,0.3333333333333333,
陝西,0.05645161290322581,0.12068965517241378,0.0625,0.06766917293233084,0.01639344262295082,0.02298850574712644,0.045454545454545456,0.14285714285714285,0.024911032028469747,
甘肅,0.1851851851851852,0.04081632653061224,0.0625,0.028169014084507043,0.13333333333333333,0.02777777777777778,,0.15384615384615385,0.02469135802469136,
青海,,,0.0,,,0.6666666666666666,,,0.625,
寧夏回族自治區,,,,,,,,1.0,0.09999999999999999,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,0.03333333333333333,,,,,,
