,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.17647058823529413,,0.23529411764705885,0.07142857142857142,,0.42857142857142855,0.75,0.06666666666666667,
天津,0.2,0.3333333333333333,1.0,0.23809523809523808,,,0.7,0.5,0.013513513513513513,
河北,0.4651810584958217,0.393939393939394,0.3756906077348066,0.3056768558951965,0.3694581280788177,0.32567049808429116,0.4096385542168675,0.3983516483516484,0.29878048780487804,0.13793103448275862
山西,0.38461538461538464,0.43373493975903615,0.2073170731707317,0.34444444444444444,0.42187499999999994,0.39062499999999994,0.3565217391304348,0.43243243243243246,0.7329650092081031,
內蒙古自治區,,,,,,,,,0.5,
遼寧,,,,0.30769230769230765,0.75,,,0.16666666666666666,0.16279069767441862,0.7857142857142857
吉林,,,,,1.0,,,,0.06666666666666667,0.5
黑龍江,,,,,0.75,,,,,1.0
上海,0.5619047619047619,0.5788288288288289,0.265625,0.738562091503268,0.12195121951219512,0.4301675977653632,0.4923076923076923,0.19444444444444442,0.7159533073929961,0.68
江蘇,0.4357541899441341,0.472644376899696,0.5147058823529411,0.532399299474606,0.3782051282051282,0.5337186897880539,0.5058139534883721,0.407185628742515,0.23097112860892388,0.3132530120481928
浙江,0.3578947368421052,0.5181058495821728,0.6770833333333333,0.4280936454849498,0.3562091503267974,0.44469525959367945,0.3882352941176471,0.23577235772357721,0.42035398230088494,0.5147058823529411
安徽,0.3006993006993007,0.259656652360515,0.6097560975609756,0.5052631578947369,0.48000000000000004,0.41666666666666663,0.46078431372549017,0.33999999999999997,0.1904761904761905,0.35714285714285715
福建,0.21176470588235294,0.2154882154882155,0.3333333333333333,0.24074074074074073,0.273972602739726,0.18987341772151897,0.48571428571428577,0.14285714285714285,0.1794871794871795,0.5652173913043478
江西,0.4303030303030303,0.3378378378378379,0.28571428571428575,0.3678571428571428,0.34,0.5291666666666666,0.296875,0.42342342342342343,0.3142857142857143,
山東,0.28402366863905326,0.33518776077885953,0.47252747252747257,0.25524475524475526,0.2796352583586626,0.3394495412844037,0.354014598540146,0.09056603773584906,0.36008676789587857,0.312
河南,0.4376996805111821,0.3632707774798927,0.4107142857142857,0.4249471458773785,0.07142857142857142,0.25,0.38461538461538464,0.11510791366906474,0.27272727272727276,
湖北,0.312,0.18309859154929578,0.2545454545454545,0.23870967741935484,0.20312499999999997,0.3142857142857143,0.09223300970873786,0.17567567567567569,0.2835820895522388,0.2857142857142857
湖南,0.3950617283950617,0.21578947368421053,0.16666666666666666,0.25210084033613445,0.4276729559748428,0.3529411764705882,0.29559748427672955,0.3288288288288288,0.23529411764705882,0.1
廣東,0.17613636363636362,0.1928571428571429,0.2336448598130841,0.22026431718061673,0.17061611374407581,0.1959183673469388,0.1375661375661376,0.35227272727272724,0.16013071895424838,0.18181818181818182
廣西壯族自治區,0.19354838709677422,0.2672413793103448,0.0625,0.1550387596899225,0.2842105263157895,0.1875,0.20454545454545453,0.0392156862745098,0.33649289099526064,0.0625
海南,0.4666666666666666,0.0819672131147541,0.4285714285714286,,0.29411764705882354,0.18181818181818182,0.3333333333333333,,0.2702702702702703,
重慶,,0.53125,0.16666666666666669,0.17647058823529413,0.15217391304347824,0.2916666666666667,0.3157894736842105,0.34210526315789475,0.10204081632653061,
四川,,0.08333333333333333,0.6,0.29565217391304355,0.17241379310344826,0.3684210526315789,0.33898305084745767,0.406015037593985,0.3620689655172414,0.07142857142857144
貴州,0.39999999999999997,0.15789473684210528,,0.23333333333333334,0.037037037037037035,0.2727272727272727,,0.16666666666666666,0.4396551724137931,
雲南,0.07142857142857142,0.40476190476190477,,0.10869565217391305,0.25396825396825395,0.09433962264150943,0.07692307692307693,0.41304347826086957,0.2085889570552147,0.39999999999999997
西藏自治區,,0.0,,,,,,1.0,0.5,
陝西,0.41129032258064513,0.3146551724137931,0.43750000000000006,0.45112781954887227,0.1475409836065574,0.3620689655172414,0.22727272727272727,0.3571428571428571,0.4270462633451957,
甘肅,0.14814814814814817,0.12244897959183673,0.625,0.3943661971830986,0.2222222222222222,0.11111111111111112,,0.358974358974359,0.08641975308641976,
青海,,,0.0,,,0.6666666666666666,,,0.625,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.5757575757575757,,0.36666666666666664,0.3333333333333333,0.3888888888888889,0.2,,0.26666666666666666,
