,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5,0.29411764705882354,,,0.21428571428571427,0.038461538461538464,,,0.39999999999999997,
天津,,0.2777777777777778,,0.09523809523809523,0.5714285714285714,,,,0.527027027027027,
河北,0.33147632311977715,0.2766798418972332,0.20441988950276244,0.21179039301310046,0.08374384236453203,0.34291187739463597,0.45783132530120485,0.21703296703296704,0.26016260162601623,0.48275862068965514
山西,0.14792899408284024,0.15060240963855423,0.2195121951219512,0.03333333333333333,0.140625,0.18229166666666663,0.19999999999999998,0.2594594594594595,0.3701657458563536,
內蒙古自治區,,,,,1.0,,,,0.16666666666666666,
遼寧,,,,,1.0,0.25,0.3333333333333333,,0.13953488372093023,0.14285714285714285
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.43809523809523804,0.5135135135135136,0.671875,0.5359477124183006,0.34146341463414637,0.5810055865921787,0.3153846153846154,0.2638888888888889,0.6964980544747081,0.92
江蘇,0.3016759776536313,0.28723404255319146,0.5588235294117647,0.3782837127845884,0.40384615384615385,0.3988439306358382,0.3488372093023256,0.3712574850299401,0.37270341207349084,0.710843373493976
浙江,0.3210526315789473,0.39972144846796653,0.47916666666666663,0.3846153846153845,0.2973856209150327,0.43115124153498874,0.5647058823529413,0.39837398373983735,0.3915929203539823,0.7647058823529412
安徽,0.18181818181818182,0.16523605150214593,0.35365853658536583,0.15438596491228068,0.24000000000000002,0.19444444444444445,0.0980392156862745,0.48,0.11904761904761904,0.35714285714285715
福建,0.22352941176470587,0.31313131313131315,0.18333333333333335,0.43703703703703706,0.3698630136986301,0.16455696202531644,0.3142857142857143,0.4285714285714285,0.25,0.34782608695652173
江西,0.19393939393939394,0.12972972972972974,0.14285714285714288,0.07142857142857142,0.12,0.1625,0.125,0.3513513513513513,0.28571428571428575,
山東,0.20710059171597633,0.24895688456189155,0.3186813186813187,0.2744755244755245,0.2735562310030395,0.36391437308868496,0.27007299270072993,0.4188679245283019,0.403470715835141,0.496
河南,0.2172523961661342,0.1997319034852547,0.2142857142857143,0.1437632135306554,0.17032967032967034,0.1730769230769231,0.038461538461538464,0.2517985611510791,0.346938775510204,0.375
湖北,0.152,0.23943661971830987,0.03636363636363636,0.18064516129032257,0.140625,0.24761904761904763,0.14563106796116504,0.28378378378378377,0.3880597014925373,0.14285714285714285
湖南,0.09876543209876543,0.1,0.125,0.058823529411764705,0.17610062893081763,0.09049773755656107,0.33962264150943394,0.37387387387387383,0.21176470588235294,0.5
廣東,0.125,0.24464285714285716,0.16822429906542055,0.24449339207048457,0.3222748815165877,0.26122448979591834,0.42328042328042326,0.4431818181818182,0.33660130718954245,0.4545454545454546
廣西壯族自治區,0.06451612903225808,0.1982758620689655,0.125,0.2170542635658915,0.06315789473684211,0.22499999999999998,0.22727272727272724,0.1568627450980392,0.2559241706161137,0.5625
海南,0.19999999999999998,0.4098360655737705,,0.25,0.058823529411764705,0.36363636363636365,0.3333333333333333,,0.18918918918918917,
重慶,,0.0625,,0.11764705882352942,0.10869565217391304,0.1388888888888889,0.13157894736842105,0.2894736842105263,0.14285714285714285,
四川,,0.08333333333333333,,0.0956521739130435,0.15517241379310345,0.15789473684210525,0.16949152542372883,0.21804511278195488,0.13448275862068965,0.42857142857142855
貴州,0.19999999999999998,0.10526315789473684,,0.06666666666666667,0.07407407407407407,0.0606060606060606,0.41666666666666663,0.7333333333333333,0.16379310344827586,
雲南,0.2857142857142857,0.08333333333333334,,0.08695652173913043,0.047619047619047616,0.09433962264150943,0.15384615384615385,0.10869565217391304,0.15950920245398773,0.19999999999999998
西藏自治區,,0.0,,,,,,,,
陝西,0.1774193548387097,0.19827586206896552,0.125,0.1729323308270677,0.01639344262295082,0.08045977011494253,0.22727272727272727,0.30952380952380953,0.19572953736654805,
甘肅,0.1851851851851852,,,0.07042253521126761,0.3333333333333333,0.11111111111111112,,0.25641025641025644,0.14814814814814814,
青海,,,0.0,,,,,,0.125,
寧夏回族自治區,,,,1.0,,,,1.0,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,0.2727272727272727,1.0,0.43333333333333335,0.2222222222222222,0.611111111111111,0.2,,0.26666666666666666,
