,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.6,,,,,,,,
天津,0.7499999999999999,1.0,,0.6666666666666666,,,1.0,,,
河北,0.581151832460733,0.2745098039215686,0.5714285714285714,0.3707865168539326,0.34,0.4389140271493213,0.5894736842105263,0.34523809523809523,0.5656565656565656,0.5714285714285714
山西,0.2162162162162162,0.5531914893617021,0.7692307692307693,0.15384615384615383,0.5675675675675675,0.13333333333333336,0.21052631578947367,0.4,0.6781115879828327,
內蒙古自治區,,,,,,,,,1.0,
遼寧,,,,,,,,,0.15,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.2222222222222222,0.5786163522012578,0.9069767441860466,0.38461538461538464,0.3,0.3846153846153846,0.4137931034482759,,0.5060240963855422,
江蘇,0.6,0.4820717131474104,0.8571428571428571,0.6238532110091743,0.38636363636363635,0.3706293706293707,0.6621621621621622,0.38095238095238093,0.2626262626262626,0.26666666666666666
浙江,0.29090909090909095,0.5477031802120141,0.5714285714285714,0.3103448275862069,0.4782608695652174,0.4090909090909091,0.3269230769230769,0.12,0.43888888888888883,
安徽,0.2549019607843137,0.34375,0.25,0.3023255813953488,0.3333333333333333,0.10526315789473684,0.10869565217391305,0.27906976744186046,0.1,
福建,,,0.13793103448275862,,,0.4137931034482759,,,0.1694915254237288,1.0
江西,0.125,0.256198347107438,0.058823529411764705,0.05555555555555555,0.2142857142857143,0.21739130434782608,0.32307692307692304,0.39655172413793105,,
山東,0.125,0.5323193916349811,0.6274509803921569,0.5980392156862745,0.40298507462686567,0.39737991266375544,0.4583333333333333,0.4881889763779528,0.5347985347985348,0.9718309859154929
河南,0.35714285714285715,0.5990566037735848,0.14285714285714285,0.3636363636363636,0.4705882352941177,0.2972972972972973,0.52,0.6666666666666666,0.5739130434782609,0.6153846153846153
湖北,0.11111111111111112,0.02127659574468085,,0.05,0.16666666666666666,0.17796610169491525,0.3777777777777778,0.17567567567567569,0.1846153846153846,
湖南,0.35294117647058826,0.10606060606060608,,0.06849315068493152,,0.24096385542168675,0.056603773584905655,0.06930693069306931,0.06666666666666667,
廣東,,0.06140350877192983,0.1111111111111111,0.1857142857142857,0.45454545454545453,0.3821138211382114,0.2142857142857143,0.33766233766233766,0.25,
廣西壯族自治區,,0.3333333333333333,0.07142857142857142,0.0425531914893617,,0.3055555555555556,,0.020833333333333332,0.2875,0.5
海南,,,,,,,,,,
重慶,,,,,,,,0.6428571428571429,0.08695652173913042,
四川,,,,0.13636363636363635,0.25,0.11764705882352942,0.15384615384615385,0.029850746268656716,0.3113207547169811,
貴州,,,,,0.14285714285714288,,,,0.27272727272727276,
雲南,,0.1818181818181818,0.07692307692307693,0.29411764705882354,0.43999999999999995,0.25,0.5,0.125,0.07142857142857142,
西藏自治區,,0.0,,,,,,,,
陝西,0.4680851063829788,0.6190476190476191,,0.375,0.21428571428571427,0.4,,0.6666666666666666,0.44642857142857145,
甘肅,0.40740740740740744,0.18181818181818182,,0.25,0.7222222222222222,1.0,,,0.41666666666666674,
青海,,,0.0,,,,,,0.3333333333333333,
寧夏回族自治區,,,,,,,,,1.0,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,0.25,,,,0.5263157894736842,
