,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,0.5,,,,,,,,0.19999999999999998,
河北,0.43455497382198954,0.2352941176470588,0.42857142857142855,0.16853932584269665,0.34,0.3212669683257919,0.4947368421052631,0.3333333333333333,0.2626262626262626,0.19047619047619047
山西,0.1081081081081081,0.1843971631205674,0.46153846153846156,0.02564102564102564,0.4594594594594595,0.1111111111111111,0.21052631578947367,0.05,0.6266094420600858,
內蒙古自治區,,0.5,,,,,,,,
遼寧,,,,,,,,,0.5,0.2222222222222222
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.7777777777777778,0.15723270440251572,0.7906976744186046,0.13461538461538464,,0.3846153846153846,0.11494252873563218,0.14285714285714288,0.391566265060241,
江蘇,0.26,0.4621513944223108,0.7142857142857143,0.5688073394495412,0.4545454545454546,0.6433566433566434,0.3648648648648649,0.40476190476190477,0.5,0.7333333333333334
浙江,0.29090909090909095,0.3144876325088339,0.2857142857142857,0.06896551724137931,0.42608695652173917,0.3383838383838384,0.24038461538461536,0.12,0.31666666666666665,
安徽,,0.31875000000000003,0.25,0.3488372093023256,0.14814814814814814,0.3157894736842105,0.08695652173913045,0.13953488372093023,0.08333333333333333,
福建,0.08888888888888889,0.08333333333333333,0.10344827586206896,0.08695652173913045,,0.10344827586206898,,0.1875,0.11864406779661017,
江西,0.0625,0.3057851239669422,0.11764705882352941,0.4111111111111111,0.14285714285714288,0.30434782608695654,0.1846153846153846,0.19827586206896552,,
山東,0.075,0.39923954372623577,0.45098039215686275,0.2549019607843137,0.24626865671641793,0.32751091703056767,0.34722222222222227,0.07086614173228348,0.17216117216117216,
河南,0.053571428571428575,0.3584905660377358,0.5714285714285714,0.3636363636363636,0.6764705882352942,0.10810810810810811,0.08,0.4358974358974359,0.09565217391304347,
湖北,0.5555555555555556,0.2553191489361702,,0.05,,0.2966101694915254,0.22222222222222224,,0.06153846153846153,
湖南,0.17647058823529413,0.196969696969697,,0.21917808219178084,0.029411764705882353,0.21686746987951808,0.03773584905660377,0.04950495049504951,0.06666666666666667,
廣東,,0.07894736842105263,,0.24285714285714283,0.045454545454545456,0.3658536585365854,0.10714285714285715,,0.0546875,
廣西壯族自治區,,,,0.02127659574468085,,0.1388888888888889,,,0.075,
海南,,,,,,,,,,
重慶,,,,,,,,,0.04347826086956521,
四川,,,,,0.16666666666666666,0.11764705882352942,,0.20895522388059704,0.21698113207547168,
貴州,,,,,,,,,,
雲南,,0.04545454545454545,,,0.32,,,,0.10714285714285714,
西藏自治區,,0.0,,,,0.375,,,0.5,
陝西,0.12765957446808512,0.4761904761904762,,0.25,0.07142857142857142,0.26666666666666666,,0.023809523809523808,0.375,
甘肅,,,,0.35000000000000003,,,,,0.16666666666666669,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,0.33333333333333337,,0.0,,,0.5,
臺灣,0.0,,,,0.75,,,,0.10526315789473685,
