,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2,,,0.16666666666666666,,,,0.29411764705882354,
天津,,,,0.6666666666666666,,,,,,
河北,0.17801047120418848,0.4183006535947712,0.42857142857142855,0.4606741573033708,0.17,0.4751131221719458,0.23157894736842105,0.40476190476190477,0.40404040404040403,
山西,0.18918918918918917,0.4326241134751773,0.5384615384615384,0.3333333333333333,0.7567567567567568,0.08888888888888889,0.1842105263157895,0.2833333333333333,0.6309012875536482,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.5220125786163522,0.627906976744186,0.13461538461538464,0.6,0.23076923076923078,0.367816091954023,,0.16867469879518074,
江蘇,0.62,0.40239043824701193,,0.4403669724770642,0.4772727272727273,0.04195804195804196,0.5,0.2142857142857143,0.4242424242424242,
浙江,0.5636363636363636,0.4240282685512368,,0.19540229885057472,0.3652173913043479,0.4292929292929293,0.3846153846153846,0.43999999999999995,0.3611111111111111,
安徽,0.7058823529411764,0.44375000000000003,0.375,0.46511627906976744,0.2222222222222222,0.06578947368421052,0.08695652173913045,0.3488372093023256,0.15000000000000002,
福建,0.044444444444444446,0.21666666666666665,0.10344827586206896,0.02173913043478261,0.14285714285714285,0.13793103448275862,,,0.3220338983050848,
江西,0.125,0.42975206611570244,0.058823529411764705,0.2222222222222222,0.1285714285714286,0.2826086956521739,0.23076923076923075,0.1810344827586207,,
山東,0.075,0.5627376425855514,0.0392156862745098,0.43137254901960786,0.20149253731343283,0.37991266375545857,0.4930555555555555,0.41732283464566927,0.41025641025641024,0.2676056338028169
河南,0.3392857142857143,0.6037735849056604,0.8571428571428572,0.46590909090909083,0.5588235294117647,0.22972972972972974,0.19999999999999998,0.15384615384615385,0.2521739130434783,
湖北,0.7407407407407407,0.3829787234042553,,0.1,0.3666666666666667,0.23728813559322035,0.06666666666666667,0.17567567567567569,0.35384615384615387,
湖南,0.5882352941176471,0.4242424242424243,,0.3698630136986301,0.17647058823529413,0.37349397590361444,0.16981132075471697,0.12871287128712872,0.13333333333333333,0.7499999999999999
廣東,0.2173913043478261,0.16666666666666666,,0.3714285714285714,0.045454545454545456,0.33333333333333337,0.03571428571428572,0.3766233766233766,0.20312500000000003,
廣西壯族自治區,0.20000000000000004,0.07407407407407407,0.07142857142857142,0.19148936170212766,0.1111111111111111,0.22222222222222224,,0.1875,0.39999999999999997,
海南,,,,,0.6666666666666666,,,,,
重慶,,,,,,,0.25,0.6071428571428572,0.3478260869565217,
四川,,,,0.04545454545454545,,0.35294117647058826,0.3076923076923077,0.5671641791044777,0.29245283018867924,
貴州,,,,0.16666666666666666,0.28571428571428575,,,,,
雲南,,0.04545454545454545,0.3076923076923077,,0.36,0.375,0.6666666666666666,,0.08928571428571429,
西藏自治區,,0.0,,,,,,,,
陝西,0.14893617021276598,0.35714285714285715,,0.5,,0.5111111111111111,,0.047619047619047616,0.4642857142857143,
甘肅,0.22222222222222224,0.27272727272727276,,0.35000000000000003,0.5,,0.25,0.25,0.16666666666666669,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
