,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.888888888888889,,,,,,,,,
天津,1.0,,,1.0,,,,,,
河北,0.49738219895287955,0.2679738562091503,,0.16853932584269665,0.26,0.248868778280543,0.23157894736842105,0.1904761904761905,0.10101010101010101,0.09523809523809523
山西,0.16216216216216217,0.40425531914893614,,0.3333333333333333,0.48648648648648646,0.2666666666666667,0.07894736842105263,0.18333333333333332,0.4506437768240344,
內蒙古自治區,,1.0,,,,,,,,
遼寧,,,,,,,,,0.35000000000000003,1.0
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.1111111111111111,0.43396226415094336,0.813953488372093,,,0.42307692307692313,0.11494252873563218,0.75,0.16867469879518074,
江蘇,0.16,0.38645418326693226,0.42857142857142855,0.5688073394495412,0.5681818181818182,0.2867132867132867,0.22972972972972974,0.28571428571428575,0.08585858585858584,0.26666666666666666
浙江,0.6181818181818182,0.3074204946996466,0.2857142857142857,0.26436781609195403,0.24347826086956523,0.3939393939393939,0.2980769230769231,0.16,0.23333333333333334,
安徽,0.3725490196078431,0.3,0.375,0.38372093023255816,0.037037037037037035,0.5131578947368421,0.26086956521739135,0.13953488372093023,0.03333333333333334,
福建,,0.11666666666666665,0.20689655172413793,0.10869565217391304,,0.2413793103448276,,0.25,0.1016949152542373,
江西,0.0625,0.2644628099173554,0.1764705882352941,0.31111111111111106,0.014285714285714287,0.20652173913043476,0.07692307692307691,0.14655172413793102,,
山東,0.075,0.3840304182509506,0.23529411764705882,0.411764705882353,0.23880597014925375,0.3406113537117904,0.2708333333333333,0.10236220472440945,0.21978021978021978,
河南,0.26785714285714285,0.4056603773584906,0.5714285714285714,0.4204545454545454,0.5588235294117647,0.08108108108108109,0.24,0.10256410256410255,0.19130434782608693,
湖北,0.888888888888889,0.29787234042553196,,0.25,0.4,0.41525423728813554,0.15555555555555556,0.12162162162162161,0.12307692307692306,
湖南,0.44117647058823534,0.196969696969697,,0.1643835616438356,0.029411764705882353,0.3855421686746988,0.03773584905660377,0.3069306930693069,0.3,
廣東,0.043478260869565216,0.09649122807017543,,0.2571428571428571,0.22727272727272727,0.23577235772357724,,0.18181818181818182,0.140625,
廣西壯族自治區,,0.14814814814814814,,0.0425531914893617,0.037037037037037035,0.05555555555555556,,0.16666666666666666,0.22499999999999998,
海南,,,,,,,,,,
重慶,,,,,,,0.5,0.5,0.04347826086956521,
四川,,,,,0.16666666666666666,0.4117647058823529,0.3076923076923077,0.4626865671641791,0.33962264150943394,
貴州,,,,0.3333333333333333,0.14285714285714288,,,,,
雲南,,,,0.058823529411764705,0.43999999999999995,0.25,0.16666666666666666,0.1875,0.07142857142857142,
西藏自治區,,0.0,,,,0.08333333333333333,,,,
陝西,0.06382978723404256,0.5952380952380952,,0.25,0.14285714285714285,0.08888888888888889,,0.16666666666666666,0.3392857142857143,
甘肅,0.14814814814814817,0.18181818181818182,,0.05,,,,0.125,0.2916666666666667,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,1.0,,,,,0.4210526315789474,
