,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.1764705882352941,
天津,1.0,1.0,,,,,1.0,0.5,0.6,
河北,0.5235602094240838,0.2679738562091503,,0.21348314606741575,0.34,0.35294117647058826,0.5368421052631579,0.2261904761904762,0.3636363636363636,0.23809523809523808
山西,0.18918918918918917,0.1843971631205674,,0.5384615384615384,0.027027027027027025,0.35555555555555557,0.15789473684210525,0.18333333333333332,0.10300429184549358,
內蒙古自治區,,,,,,,,,0.2,
遼寧,,,,,,,,,0.45000000000000007,0.8888888888888888
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.6666666666666667
上海,0.6666666666666666,0.49685534591194963,1.0,0.4615384615384615,0.4,0.3076923076923077,,0.14285714285714288,0.15060240963855423,
江蘇,0.42,0.49800796812749,0.7142857142857143,0.33944954128440363,0.27272727272727276,0.6503496503496504,0.25675675675675674,0.38095238095238093,0.4747474747474747,0.8666666666666667
浙江,0.6000000000000001,0.5406360424028269,,0.4367816091954023,0.32173913043478264,0.4444444444444445,0.3557692307692308,0.19999999999999998,0.4222222222222222,
安徽,0.1568627450980392,0.3,0.5,0.3255813953488372,0.4444444444444444,0.6052631578947367,0.13043478260869568,0.3953488372093023,0.2666666666666667,
福建,0.33333333333333337,0.1,0.13793103448275862,0.43478260869565216,0.5714285714285714,0.2413793103448276,0.33333333333333337,0.43750000000000006,0.23728813559322035,1.0
江西,0.4375,0.19008264462809918,0.3529411764705882,0.3888888888888889,0.37142857142857144,0.4782608695652174,0.2615384615384615,0.41379310344827586,,
山東,0.325,0.20912547528517111,0.5098039215686274,0.5588235294117647,0.3358208955223881,0.314410480349345,0.3333333333333333,0.2992125984251969,0.3772893772893773,0.4366197183098592
河南,0.25,0.3018867924528302,0.5714285714285714,0.23863636363636362,0.23529411764705885,0.25675675675675674,0.32,0.3846153846153846,0.23478260869565218,
湖北,0.40740740740740744,0.14893617021276598,,0.15,0.26666666666666666,0.5169491525423728,0.33333333333333337,0.32432432432432434,0.30769230769230765,
湖南,0.14705882352941177,0.06060606060606061,,0.3287671232876712,0.058823529411764705,0.5301204819277109,0.32075471698113206,0.4752475247524752,0.06666666666666667,
廣東,0.17391304347826086,0.2280701754385965,,0.2571428571428571,0.18181818181818182,0.4715447154471545,0.6428571428571429,0.3116883116883117,0.42968749999999994,
廣西壯族自治區,,0.18518518518518517,,0.14893617021276595,0.037037037037037035,0.05555555555555556,0.16666666666666666,0.125,0.15,0.5
海南,,,,,,,,,,
重慶,,,,0.125,0.5,,,0.5714285714285715,0.17391304347826084,
四川,,,,0.3636363636363636,0.25,0.11764705882352942,0.46153846153846156,0.37313432835820903,0.3113207547169811,
貴州,,,,,,,,,0.09090909090909091,
雲南,,0.2727272727272727,0.3076923076923077,0.23529411764705882,0.11999999999999998,,,,0.16071428571428573,
西藏自治區,,0.0,,,,0.125,,,,
陝西,0.34042553191489366,0.02380952380952381,,0.125,0.21428571428571427,0.06666666666666667,,0.38095238095238093,0.10714285714285714,
甘肅,,,,,0.2222222222222222,,,0.5,0.16666666666666669,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,0.5,
臺灣,0.0,0.923076923076923,,,0.25,,,,0.47368421052631576,
