,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,,
天津,,,,,,,,,,
河北,,,,,,,,,,
山西,,,,,,,,,0.004291845493562233,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,,,,,,,,,
江蘇,,,,,,,,,,
浙江,0.16363636363636364,0.04240282685512368,,,,,,,0.03333333333333333,
安徽,,,,,,0.039473684210526314,,,,
福建,,,,0.06521739130434782,,,,,,
江西,,,,,,0.10869565217391304,,,,
山東,,,,,,0.048034934497816595,,0.031496062992125984,,
河南,,0.0660377358490566,,,0.1470588235294118,0.013513513513513514,,,,
湖北,,,,,,,,,,
湖南,,,,0.0821917808219178,,0.012048192771084338,,0.0594059405940594,,
廣東,,,,,,,,0.06493506493506493,0.25,
廣西壯族自治區,,,,,,,,0.125,,
海南,,,,,,,,,,
重慶,,,,,,,,0.03571428571428572,,
四川,,,,,,,,,0.09433962264150943,
貴州,,0.3333333333333333,,,,,,,,
雲南,,,0.07692307692307693,,,,,,0.05357142857142857,
西藏自治區,,0.0,,,,,,,,
陝西,,,,,,,,,,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,0.5263157894736842,
