,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,0.5555555555555556,,,,,,,,,
天津,,,,,,,,,0.19999999999999998,
河北,0.27225130890052357,0.0718954248366013,,0.2247191011235955,0.09,0.13122171945701358,0.3894736842105263,0.1904761904761905,0.11111111111111109,0.14285714285714285
山西,,0.1631205673758865,,0.12820512820512822,,,0.21052631578947367,0.016666666666666666,0.1201716738197425,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,,0.056603773584905655,0.7209302325581396,,,,0.367816091954023,,0.2289156626506024,
江蘇,0.38,0.17131474103585656,0.07142857142857142,0.18348623853211007,0.36363636363636365,0.06993006993006994,0.445945945945946,0.2142857142857143,0.40404040404040403,
浙江,0.03636363636363637,0.07773851590106008,,,,0.025252525252525256,0.1923076923076923,,0.2,
安徽,0.0196078431372549,0.25,,0.023255813953488375,0.14814814814814814,0.23684210526315785,0.06521739130434784,0.09302325581395349,0.11666666666666667,
福建,,,,,0.2142857142857143,0.2413793103448276,,,0.03389830508474577,0.5
江西,0.125,0.01652892561983471,,0.02222222222222222,,0.010869565217391304,0.0923076923076923,,,
山東,0.049999999999999996,0.20532319391634982,,0.23529411764705882,0.12686567164179105,0.22707423580786026,0.4097222222222222,0.25196850393700787,0.19413919413919414,0.04225352112676056
河南,0.19642857142857145,0.33018867924528306,0.14285714285714285,0.125,,0.16216216216216217,0.52,0.28205128205128205,0.10434782608695653,0.30769230769230765
湖北,,,,0.05,,0.13559322033898305,0.22222222222222224,0.06756756756756757,0.030769230769230764,
湖南,,,,0.05479452054794521,,0.012048192771084338,0.018867924528301886,0.0297029702970297,0.06666666666666667,
廣東,,,,0.05714285714285714,0.22727272727272727,0.4471544715447155,0.10714285714285715,,0.0546875,
廣西壯族自治區,,,,,,0.6111111111111112,0.6666666666666666,0.041666666666666664,0.0625,
海南,,,,,,,,,,
重慶,,,,,,,,0.5714285714285715,,
四川,,,,,,,,0.28358208955223885,,
貴州,,,,,,,,,,
雲南,,,,,,,,0.0625,,
西藏自治區,,0.0,,,,,,,,
陝西,0.21276595744680854,,,,,,,0.09523809523809523,0.07142857142857142,
甘肅,,,,,,1.0,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
