,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.29411764705882354,
天津,,,,,,,,,,
河北,0.06806282722513089,,,0.0449438202247191,,0.08597285067873303,0.05263157894736841,,0.0606060606060606,0.23809523809523808
山西,0.18918918918918917,0.04964539007092199,,,,0.06666666666666668,0.02631578947368421,0.08333333333333333,0.14163090128755368,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.05,0.7777777777777778
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,0.33333333333333337
上海,,0.3710691823899371,0.023255813953488372,0.17307692307692307,,,,0.8571428571428572,0.31325301204819284,
江蘇,0.06,0.08366533864541834,,0.2293577981651376,0.045454545454545456,0.027972027972027972,0.3108108108108108,0.28571428571428575,0.045454545454545456,
浙江,0.018181818181818184,0.09540636042402827,,0.04597701149425288,0.08695652173913043,0.18181818181818182,0.04807692307692307,0.18000000000000002,0.09444444444444444,
安徽,,,,0.12790697674418605,,0.21052631578947367,0.15217391304347827,0.23255813953488375,0.05,
福建,,,,0.02173913043478261,,,,,0.03389830508474577,
江西,,0.008264462809917356,,0.08888888888888888,,0.2826086956521739,0.015384615384615384,0.1724137931034483,0.06666666666666667,
山東,,0.011406844106463879,,0.1568627450980392,0.11194029850746269,0.22270742358078605,0.13194444444444445,0.13385826771653545,0.1465201465201465,0.3380281690140845
河南,0.14285714285714288,0.11792452830188681,,0.07954545454545454,0.4705882352941177,0.08108108108108109,,0.025641025641025637,0.20869565217391306,
湖北,0.07407407407407407,0.06382978723404255,,,0.06666666666666667,0.15254237288135591,,0.02702702702702703,0.13846153846153844,
湖南,0.11764705882352942,0.04545454545454546,,0.0958904109589041,,0.20481927710843373,0.07547169811320754,,0.03333333333333333,
廣東,0.08695652173913043,0.03508771929824561,,0.04285714285714285,,,,0.012987012987012988,0.0546875,
廣西壯族自治區,,0.037037037037037035,0.21428571428571427,0.06382978723404255,,0.08333333333333334,0.5,0.08333333333333333,0.125,
海南,,,,,,,,,,
重慶,,,,,,,,,0.04347826086956521,
四川,,,,,,,,0.014925373134328358,0.14150943396226415,
貴州,,,,,,,,,,
雲南,,,,,0.16,0.125,,0.1875,0.10714285714285714,
西藏自治區,,0.0,,,,,,,,
陝西,0.06382978723404256,0.5238095238095238,,,0.07142857142857142,0.06666666666666667,,0.19047619047619047,0.07142857142857142,
甘肅,,,,,,,,0.625,0.20833333333333337,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
