,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,0.2,,,,1.0,,,0.6470588235294118,
天津,1.0,0.5,,,,,,,0.7999999999999999,
河北,0.706806282722513,0.3790849673202614,0.8571428571428571,0.3595505617977528,0.38999999999999996,0.5113122171945701,0.7052631578947368,0.75,0.6868686868686869,0.47619047619047616
山西,0.6216216216216216,0.7163120567375887,0.7692307692307693,0.5641025641025641,0.5135135135135135,0.48888888888888893,0.368421052631579,0.4666666666666666,0.7725321888412018,
內蒙古自治區,,,,,,,,,,
遼寧,,,,,,,,,0.35000000000000003,0.2222222222222222
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,1.0,0.9182389937106918,0.9767441860465116,0.7115384615384616,,0.8846153846153846,0.8505747126436782,1.0,0.783132530120482,
江蘇,0.58,0.6772908366533864,0.7142857142857143,0.6513761467889908,0.5681818181818182,0.7342657342657344,0.7027027027027027,0.6190476190476191,0.6919191919191919,0.6
浙江,0.6363636363636364,0.6713780918727916,0.2857142857142857,0.20689655172413796,0.39999999999999997,0.5101010101010102,0.6634615384615385,0.5,0.5222222222222221,
安徽,0.5294117647058822,0.5375,1.0,0.3604651162790698,0.3333333333333333,0.18421052631578946,0.3695652173913044,0.3488372093023256,0.3333333333333333,
福建,0.37777777777777777,0.4333333333333333,0.3793103448275862,0.43478260869565216,0.5,0.3448275862068965,0.33333333333333337,0.5625,0.5423728813559323,
江西,0.8125000000000001,0.4628099173553719,0.4117647058823529,0.3888888888888889,0.5142857142857143,0.358695652173913,0.4461538461538461,0.560344827586207,0.5333333333333333,
山東,0.5,0.5247148288973384,0.6470588235294118,0.43137254901960786,0.7462686567164178,0.7074235807860262,0.5902777777777778,0.8031496062992126,0.6483516483516483,0.9859154929577465
河南,0.7142857142857143,0.6037735849056604,0.7142857142857143,0.47727272727272724,0.5,0.24324324324324326,0.52,0.7692307692307692,0.5739130434782609,0.30769230769230765
湖北,0.925925925925926,0.4255319148936171,1.0,0.7,0.3666666666666667,0.3305084745762712,0.5111111111111112,0.5,0.2461538461538461,0.3333333333333333
湖南,0.44117647058823534,0.4545454545454546,,0.5205479452054795,0.3235294117647059,0.4457831325301205,0.3018867924528302,0.712871287128713,0.3,1.0
廣東,0.2608695652173913,0.5614035087719298,0.16666666666666666,0.6571428571428571,0.3181818181818182,0.6341463414634146,0.25,0.7532467532467532,0.609375,
廣西壯族自治區,,0.5555555555555556,0.7857142857142857,0.5957446808510638,0.5555555555555555,0.25,,0.3958333333333333,0.35,0.25
海南,,1.0,,,0.3333333333333333,,,,,
重慶,,,,,0.25,,0.75,0.5714285714285715,0.391304347826087,
四川,,,,0.5227272727272727,0.3333333333333333,0.17647058823529413,0.3076923076923077,0.2985074626865672,0.5660377358490566,
貴州,,,,0.16666666666666666,0.4285714285714286,0.7999999999999999,0.5,0.2,0.36363636363636365,
雲南,,0.7272727272727272,0.07692307692307693,0.4117647058823529,0.72,0.25,0.5833333333333333,0.31249999999999994,0.44642857142857145,
西藏自治區,,0.0,,,,,,,,
陝西,0.7659574468085107,0.6428571428571429,,0.125,0.5714285714285714,0.4666666666666667,,0.5238095238095238,0.4821428571428572,
甘肅,0.4444444444444445,0.18181818181818182,,0.45,0.7222222222222222,1.0,0.5,0.75,0.2916666666666667,
青海,,,0.0,,,,,,1.0,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,0.33333333333333337,,0.0,,,0.5,
臺灣,0.0,1.0,,1.0,1.0,,,,0.631578947368421,
