,順治,康熙,雍正,乾隆,嘉慶,道光,咸豐,同治,光緒,宣統
北京,,,,,,,,,0.23529411764705882,
天津,,,,,,,,,0.39999999999999997,
河北,0.11518324607329843,0.0718954248366013,,,0.03,0.05429864253393666,0.2631578947368421,0.380952380952381,0.3333333333333333,
山西,0.2162162162162162,0.035460992907801414,,0.07692307692307691,,0.13333333333333336,0.34210526315789475,0.016666666666666666,0.07296137339055794,
內蒙古自治區,,,,,,,,,1.0,
遼寧,,,,,,,,,,
吉林,,,,,,,,,,
黑龍江,,,,,,,,,,
上海,0.7777777777777778,0.3647798742138365,0.09302325581395349,0.11538461538461538,,0.3846153846153846,0.08045977011494254,0.14285714285714288,0.38554216867469887,
江蘇,0.12,0.26693227091633465,0.21428571428571427,0.10091743119266054,0.11363636363636365,0.3146853146853147,0.32432432432432434,0.4523809523809524,0.29292929292929293,0.7333333333333334
浙江,0.2545454545454546,0.4204946996466431,,0.16091954022988506,0.19999999999999998,0.4040404040404041,0.07692307692307693,0.38,0.22777777777777777,
安徽,0.2549019607843137,0.31875000000000003,,0.1627906976744186,0.18518518518518517,0.23684210526315785,0.3260869565217392,0.4186046511627907,0.2,1.0
福建,,0.2833333333333333,,0.391304347826087,0.3571428571428571,0.13793103448275862,,0.125,0.1016949152542373,
江西,0.0625,0.049586776859504134,,0.01111111111111111,0.1142857142857143,0.08695652173913043,0.1846153846153846,0.29310344827586204,0.19999999999999998,
山東,0.19999999999999998,0.1482889733840304,,0.29411764705882354,0.15671641791044777,0.29694323144104806,0.35416666666666663,0.5826771653543308,0.11721611721611722,0.5352112676056338
河南,0.08928571428571429,0.25471698113207547,,0.056818181818181816,0.1470588235294118,0.05405405405405406,0.16,0.4358974358974359,0.1565217391304348,0.23076923076923075
湖北,0.14814814814814814,0.3191489361702128,,0.1,,0.1271186440677966,0.17777777777777778,0.2972972972972973,0.23076923076923075,1.0
湖南,0.3823529411764706,0.07575757575757576,,0.05479452054794521,0.08823529411764706,0.060240963855421686,0.11320754716981131,0.594059405940594,,1.0
廣東,,0.25438596491228066,,0.09999999999999999,,0.21138211382113822,,0.24675324675324675,0.0859375,
廣西壯族自治區,0.4000000000000001,0.07407407407407407,0.07142857142857142,0.06382978723404255,0.1111111111111111,,,0.10416666666666666,0.075,
海南,,,,,,,,,,
重慶,,,,,,,,,0.2608695652173913,
四川,,,,0.20454545454545456,,,0.23076923076923078,0.11940298507462686,0.0660377358490566,
貴州,,,,,0.28571428571428575,,,,0.27272727272727276,
雲南,,0.2727272727272727,0.5384615384615384,0.29411764705882354,0.16,,0.3333333333333333,0.1875,0.2857142857142857,
西藏自治區,,0.0,,,,,,,,
陝西,0.25531914893617025,,,,,,,0.21428571428571427,0.05357142857142857,
甘肅,,,,,,,,,,
青海,,,0.0,,,,,,,
寧夏回族自治區,,,,,,,,,,
新疆維吾爾自治區,,,,,,0.0,,,,
臺灣,0.0,,,,,,,,,
